CBG,Year,County,MI,City?,Pop Density,,CBG,Year,County,MI,City?,Pop Density,,Prev Top 10?,Prev Top 20?
60014100003,2019,Alameda,58.2037037,TRUE,0,Oakland Zoo,60411311001,2020,Marin,59.47692308,FALSE,0.001311423,Golden Gate National Recreation Area,#N/A,16
60855051002,2019,Santa Clara,54.2304277,TRUE,0.002013286,SJC,60855051002,2020,Santa Clara,36.8576204,TRUE,0.002013286,SJC,2,2
60855116081,2019,Santa Clara,44.84117122,TRUE,0,Stanford University,60750101001,2020,San Francisco,29.60784314,TRUE,0.045675183,Fisherman's Wharf,#N/A,#N/A
60819843001,2019,San Mateo,41.83362269,FALSE,0,SFO,60750176011,2020,San Francisco,23.58823529,TRUE,0,Westfield San Francisco Centre (Mall),#N/A,#N/A
60014511014,2019,Alameda,34.34246173,TRUE,0,Lawrence Livermore National Lab,60871010004,2020,Santa Cruz,21.9897619,FALSE,0.018274041,Santa Cruz Beach + Boardwalk,10,10
60014090002,2019,Alameda,26.9084363,TRUE,0,RingCentral Coliseum,60819843001,2020,San Mateo,21.58234856,FALSE,0,SFO,4,4
60411242001,2019,Marin,25.5,FALSE,0,Angel Island State Park,60871222012,2020,Santa Cruz,19.30952381,FALSE,0.012116764,Rio Del Mar,#N/A,#N/A
60014017003,2019,Alameda,24.37158372,TRUE,5.00E-04,Treasure Island,60959800001,2020,Solano,18.9145952,FALSE,0,Travis Air Force Base (Airport),#N/A,13
60552009001,2019,Napa,19.98223706,FALSE,0.02361436,Kennedy Park + Napa Valley College,60014272005,2020,Alameda,16.96979167,TRUE,0.009869698,Oakland Coast Guard Station,#N/A,#N/A
60871010004,2019,Santa Cruz,18.72904091,FALSE,0.01827404,Santa Cruz Beach + Boardwalk,60759804011,2020,San Francisco,15.5,TRUE,0,Farallon Islands,#N/A,#N/A
,,,,,,,,,,,,,,,
60855002002,2019,Santa Clara,15.73544974,TRUE,0.917479754,SC County Jail + Police Dept,60014501022,2020,Alameda,15.57878788,TRUE,0.388307901,Alameda County Jail,2,2
60014501022,2019,Alameda,14.68452381,TRUE,0.388307901,Alameda County Jail,60855002002,2020,Santa Clara,10.51390607,TRUE,0.917479754,SC County Jail + Police Dept,1,1
60014251012,2019,Alameda,8.563071895,TRUE,0.554588581,Emeryville Medical Center?,60816063003,2020,San Mateo,6.113137255,FALSE,0.3812985,San Mateo Care Center,5,5
