Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
11/12/2020,02/01/2020,11/07/2020,AK,Anchorage Borough,2020,Medium metro,53,1622
11/12/2020,02/01/2020,11/07/2020,AK,Fairbanks North Star Borough,2090,Small metro,16,388
11/12/2020,02/01/2020,11/07/2020,AL,Autauga County,1001,Medium metro,27,397
11/12/2020,02/01/2020,11/07/2020,AL,Baldwin County,1003,Small metro,89,1720
11/12/2020,02/01/2020,11/07/2020,AL,Barbour County,1005,Noncore,14,213
11/12/2020,02/01/2020,11/07/2020,AL,Bibb County,1007,Large fringe metro,19,149
11/12/2020,02/01/2020,11/07/2020,AL,Blount County,1009,Large fringe metro,12,393
11/12/2020,02/01/2020,11/07/2020,AL,Butler County,1013,Noncore,27,175
11/12/2020,02/01/2020,11/07/2020,AL,Calhoun County,1015,Small metro,109,1246
11/12/2020,02/01/2020,11/07/2020,AL,Chambers County,1017,Micropolitan,10,293
11/12/2020,02/01/2020,11/07/2020,AL,Cherokee County,1019,Noncore,10,236
11/12/2020,02/01/2020,11/07/2020,AL,Chilton County,1021,Large fringe metro,18,316
11/12/2020,02/01/2020,11/07/2020,AL,Choctaw County,1023,Noncore,10,88
11/12/2020,02/01/2020,11/07/2020,AL,Clay County,1027,Noncore,29,155
11/12/2020,02/01/2020,11/07/2020,AL,Coffee County,1031,Micropolitan,14,406
11/12/2020,02/01/2020,11/07/2020,AL,Colbert County,1033,Small metro,44,504
11/12/2020,02/01/2020,11/07/2020,AL,Covington County,1039,Noncore,58,448
11/12/2020,02/01/2020,11/07/2020,AL,Crenshaw County,1041,Noncore,26,157
11/12/2020,02/01/2020,11/07/2020,AL,Cullman County,1043,Micropolitan,36,808
11/12/2020,02/01/2020,11/07/2020,AL,Dale County,1045,Micropolitan,53,371
11/12/2020,02/01/2020,11/07/2020,AL,Dallas County,1047,Micropolitan,46,378
11/12/2020,02/01/2020,11/07/2020,AL,DeKalb County,1049,Noncore,26,546
11/12/2020,02/01/2020,11/07/2020,AL,Elmore County,1051,Medium metro,35,535
11/12/2020,02/01/2020,11/07/2020,AL,Escambia County,1053,Noncore,21,295
11/12/2020,02/01/2020,11/07/2020,AL,Etowah County,1055,Small metro,146,1327
11/12/2020,02/01/2020,11/07/2020,AL,Franklin County,1059,Noncore,14,237
11/12/2020,02/01/2020,11/07/2020,AL,Houston County,1069,Small metro,264,1627
11/12/2020,02/01/2020,11/07/2020,AL,Jackson County,1071,Micropolitan,21,499
11/12/2020,02/01/2020,11/07/2020,AL,Jefferson County,1073,Large central metro,689,7926
11/12/2020,02/01/2020,11/07/2020,AL,Lauderdale County,1077,Small metro,80,1144
11/12/2020,02/01/2020,11/07/2020,AL,Lee County,1081,Small metro,155,1049
11/12/2020,02/01/2020,11/07/2020,AL,Limestone County,1083,Medium metro,39,644
11/12/2020,02/01/2020,11/07/2020,AL,Madison County,1089,Medium metro,171,3313
11/12/2020,02/01/2020,11/07/2020,AL,Marengo County,1091,Noncore,16,193
11/12/2020,02/01/2020,11/07/2020,AL,Marion County,1093,Noncore,26,316
11/12/2020,02/01/2020,11/07/2020,AL,Marshall County,1095,Micropolitan,58,962
11/12/2020,02/01/2020,11/07/2020,AL,Mobile County,1097,Medium metro,455,4295
11/12/2020,02/01/2020,11/07/2020,AL,Montgomery County,1101,Medium metro,366,2543
11/12/2020,02/01/2020,11/07/2020,AL,Morgan County,1103,Small metro,63,1070
11/12/2020,02/01/2020,11/07/2020,AL,Pike County,1109,Micropolitan,16,233
11/12/2020,02/01/2020,11/07/2020,AL,Randolph County,1111,Noncore,12,171
11/12/2020,02/01/2020,11/07/2020,AL,Russell County,1113,Medium metro,13,301
11/12/2020,02/01/2020,11/07/2020,AL,St. Clair County,1115,Large fringe metro,46,635
11/12/2020,02/01/2020,11/07/2020,AL,Shelby County,1117,Large fringe metro,90,1170
11/12/2020,02/01/2020,11/07/2020,AL,Talladega County,1121,Micropolitan,34,685
11/12/2020,02/01/2020,11/07/2020,AL,Tallapoosa County,1123,Noncore,72,431
11/12/2020,02/01/2020,11/07/2020,AL,Tuscaloosa County,1125,Small metro,249,1896
11/12/2020,02/01/2020,11/07/2020,AL,Walker County,1127,Large fringe metro,74,822
11/12/2020,02/01/2020,11/07/2020,AL,Washington County,1129,Noncore,10,101
11/12/2020,02/01/2020,11/07/2020,AL,Winston County,1133,Noncore,11,227
11/12/2020,02/01/2020,11/07/2020,AR,Baxter County,5005,Micropolitan,32,714
11/12/2020,02/01/2020,11/07/2020,AR,Benton County,5007,Medium metro,152,1530
11/12/2020,02/01/2020,11/07/2020,AR,Boone County,5009,Micropolitan,27,351
11/12/2020,02/01/2020,11/07/2020,AR,Chicot County,5017,Noncore,12,89
11/12/2020,02/01/2020,11/07/2020,AR,Clark County,5019,Micropolitan,10,179
11/12/2020,02/01/2020,11/07/2020,AR,Columbia County,5027,Micropolitan,19,214
11/12/2020,02/01/2020,11/07/2020,AR,Craighead County,5031,Small metro,188,1720
11/12/2020,02/01/2020,11/07/2020,AR,Crawford County,5033,Medium metro,10,366
11/12/2020,02/01/2020,11/07/2020,AR,Crittenden County,5035,Large fringe metro,21,286
11/12/2020,02/01/2020,11/07/2020,AR,Faulkner County,5045,Medium metro,54,856
11/12/2020,02/01/2020,11/07/2020,AR,Garland County,5051,Small metro,106,1422
11/12/2020,02/01/2020,11/07/2020,AR,Howard County,5061,Noncore,10,120
11/12/2020,02/01/2020,11/07/2020,AR,Independence County,5063,Micropolitan,69,443
11/12/2020,02/01/2020,11/07/2020,AR,Jefferson County,5069,Small metro,103,786
11/12/2020,02/01/2020,11/07/2020,AR,Lawrence County,5075,Noncore,10,132
11/12/2020,02/01/2020,11/07/2020,AR,Little River County,5081,Small metro,25,124
11/12/2020,02/01/2020,11/07/2020,AR,Lonoke County,5085,Medium metro,18,367
11/12/2020,02/01/2020,11/07/2020,AR,Mississippi County,5093,Micropolitan,23,301
11/12/2020,02/01/2020,11/07/2020,AR,Newton County,5101,Micropolitan,13,81
11/12/2020,02/01/2020,11/07/2020,AR,Pope County,5115,Micropolitan,23,527
11/12/2020,02/01/2020,11/07/2020,AR,Pulaski County,5119,Medium metro,375,5158
11/12/2020,02/01/2020,11/07/2020,AR,Randolph County,5121,Noncore,14,132
11/12/2020,02/01/2020,11/07/2020,AR,Saline County,5125,Medium metro,29,723
11/12/2020,02/01/2020,11/07/2020,AR,Sebastian County,5131,Medium metro,151,1835
11/12/2020,02/01/2020,11/07/2020,AR,Stone County,5137,Noncore,15,133
11/12/2020,02/01/2020,11/07/2020,AR,Union County,5139,Micropolitan,50,442
11/12/2020,02/01/2020,11/07/2020,AR,Washington County,5143,Medium metro,186,1906
11/12/2020,02/01/2020,11/07/2020,AR,White County,5145,Micropolitan,43,740
11/12/2020,02/01/2020,11/07/2020,AZ,Apache County,4001,Noncore,43,430
11/12/2020,02/01/2020,11/07/2020,AZ,Cochise County,4003,Small metro,31,866
11/12/2020,02/01/2020,11/07/2020,AZ,Coconino County,4005,Small metro,132,1006
11/12/2020,02/01/2020,11/07/2020,AZ,Gila County,4007,Micropolitan,35,571
