Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
02/10/2021,01/01/2020,02/06/2021,AK,Anchorage Borough,2020,Medium metro,165,2412
02/10/2021,01/01/2020,02/06/2021,AK,Fairbanks North Star Borough,2090,Small metro,30,572
02/10/2021,01/01/2020,02/06/2021,AK,Kenai Peninsula Borough,2122,Noncore,14,377
02/10/2021,01/01/2020,02/06/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,27,669
02/10/2021,01/01/2020,02/06/2021,AL,Autauga County,1001,Medium metro,69,569
02/10/2021,01/01/2020,02/06/2021,AL,Baldwin County,1003,Small metro,186,2513
02/10/2021,01/01/2020,02/06/2021,AL,Barbour County,1005,Noncore,26,310
02/10/2021,01/01/2020,02/06/2021,AL,Bibb County,1007,Large fringe metro,24,204
02/10/2021,01/01/2020,02/06/2021,AL,Blount County,1009,Large fringe metro,41,557
02/10/2021,01/01/2020,02/06/2021,AL,Butler County,1013,Noncore,30,257
02/10/2021,01/01/2020,02/06/2021,AL,Calhoun County,1015,Small metro,230,1826
02/10/2021,01/01/2020,02/06/2021,AL,Chambers County,1017,Micropolitan,22,415
02/10/2021,01/01/2020,02/06/2021,AL,Cherokee County,1019,Noncore,16,318
02/10/2021,01/01/2020,02/06/2021,AL,Chilton County,1021,Large fringe metro,23,445
02/10/2021,01/01/2020,02/06/2021,AL,Choctaw County,1023,Noncore,13,120
02/10/2021,01/01/2020,02/06/2021,AL,Clay County,1027,Noncore,34,224
02/10/2021,01/01/2020,02/06/2021,AL,Cleburne County,1029,Noncore,12,146
02/10/2021,01/01/2020,02/06/2021,AL,Coffee County,1031,Micropolitan,63,620
02/10/2021,01/01/2020,02/06/2021,AL,Colbert County,1033,Small metro,148,810
02/10/2021,01/01/2020,02/06/2021,AL,Covington County,1039,Noncore,87,641
02/10/2021,01/01/2020,02/06/2021,AL,Crenshaw County,1041,Noncore,30,223
02/10/2021,01/01/2020,02/06/2021,AL,Cullman County,1043,Micropolitan,178,1315
02/10/2021,01/01/2020,02/06/2021,AL,Dale County,1045,Micropolitan,64,520
02/10/2021,01/01/2020,02/06/2021,AL,Dallas County,1047,Micropolitan,95,591
02/10/2021,01/01/2020,02/06/2021,AL,DeKalb County,1049,Noncore,95,858
02/10/2021,01/01/2020,02/06/2021,AL,Elmore County,1051,Medium metro,52,772
02/10/2021,01/01/2020,02/06/2021,AL,Escambia County,1053,Noncore,38,438
02/10/2021,01/01/2020,02/06/2021,AL,Etowah County,1055,Small metro,311,1944
02/10/2021,01/01/2020,02/06/2021,AL,Fayette County,1057,Noncore,20,185
02/10/2021,01/01/2020,02/06/2021,AL,Franklin County,1059,Noncore,26,360
02/10/2021,01/01/2020,02/06/2021,AL,Geneva County,1061,Small metro,29,367
02/10/2021,01/01/2020,02/06/2021,AL,Hale County,1065,Small metro,16,176
02/10/2021,01/01/2020,02/06/2021,AL,Houston County,1069,Small metro,470,2359
02/10/2021,01/01/2020,02/06/2021,AL,Jackson County,1071,Micropolitan,56,737
02/10/2021,01/01/2020,02/06/2021,AL,Jefferson County,1073,Large central metro,1626,12090
02/10/2021,01/01/2020,02/06/2021,AL,Lauderdale County,1077,Small metro,215,1754
02/10/2021,01/01/2020,02/06/2021,AL,Lawrence County,1079,Small metro,19,364
02/10/2021,01/01/2020,02/06/2021,AL,Lee County,1081,Small metro,234,1473
02/10/2021,01/01/2020,02/06/2021,AL,Limestone County,1083,Medium metro,98,976
02/10/2021,01/01/2020,02/06/2021,AL,Madison County,1089,Medium metro,504,4947
02/10/2021,01/01/2020,02/06/2021,AL,Marengo County,1091,Noncore,36,305
02/10/2021,01/01/2020,02/06/2021,AL,Marion County,1093,Noncore,65,472
02/10/2021,01/01/2020,02/06/2021,AL,Marshall County,1095,Micropolitan,169,1441
02/10/2021,01/01/2020,02/06/2021,AL,Mobile County,1097,Medium metro,708,6260
02/10/2021,01/01/2020,02/06/2021,AL,Monroe County,1099,Noncore,17,251
02/10/2021,01/01/2020,02/06/2021,AL,Montgomery County,1101,Medium metro,647,3812
02/10/2021,01/01/2020,02/06/2021,AL,Morgan County,1103,Small metro,192,1655
02/10/2021,01/01/2020,02/06/2021,AL,Pickens County,1107,Small metro,10,190
02/10/2021,01/01/2020,02/06/2021,AL,Pike County,1109,Micropolitan,54,368
02/10/2021,01/01/2020,02/06/2021,AL,Randolph County,1111,Noncore,13,230
02/10/2021,01/01/2020,02/06/2021,AL,Russell County,1113,Medium metro,27,442
02/10/2021,01/01/2020,02/06/2021,AL,St. Clair County,1115,Large fringe metro,94,932
02/10/2021,01/01/2020,02/06/2021,AL,Shelby County,1117,Large fringe metro,138,1629
02/10/2021,01/01/2020,02/06/2021,AL,Talladega County,1121,Micropolitan,100,1033
02/10/2021,01/01/2020,02/06/2021,AL,Tallapoosa County,1123,Noncore,95,636
02/10/2021,01/01/2020,02/06/2021,AL,Tuscaloosa County,1125,Small metro,491,2872
02/10/2021,01/01/2020,02/06/2021,AL,Walker County,1127,Large fringe metro,164,1204
02/10/2021,01/01/2020,02/06/2021,AL,Washington County,1129,Noncore,10,134
02/10/2021,01/01/2020,02/06/2021,AL,Winston County,1133,Noncore,27,323
02/10/2021,01/01/2020,02/06/2021,AR,Arkansas County,5001,Noncore,10,236
02/10/2021,01/01/2020,02/06/2021,AR,Baxter County,5005,Micropolitan,126,1082
02/10/2021,01/01/2020,02/06/2021,AR,Benton County,5007,Medium metro,398,2391
02/10/2021,01/01/2020,02/06/2021,AR,Boone County,5009,Micropolitan,66,520
02/10/2021,01/01/2020,02/06/2021,AR,Bradley County,5011,Noncore,17,126
02/10/2021,01/01/2020,02/06/2021,AR,Carroll County,5015,Noncore,15,252
02/10/2021,01/01/2020,02/06/2021,AR,Chicot County,5017,Noncore,20,129
02/10/2021,01/01/2020,02/06/2021,AR,Clark County,5019,Micropolitan,23,257
02/10/2021,01/01/2020,02/06/2021,AR,Clay County,5021,Noncore,25,204
