Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
08/05/2020,02/01/2020,08/01/2020,AL,Autauga County,1001,16,249
08/05/2020,02/01/2020,08/01/2020,AL,Butler County,1013,20,122
08/05/2020,02/01/2020,08/01/2020,AL,Colbert County,1033,13,313
08/05/2020,02/01/2020,08/01/2020,AL,Covington County,1039,33,282
08/05/2020,02/01/2020,08/01/2020,AL,Cullman County,1043,12,497
08/05/2020,02/01/2020,08/01/2020,AL,Dale County,1045,22,234
08/05/2020,02/01/2020,08/01/2020,AL,Dallas County,1047,24,244
08/05/2020,02/01/2020,08/01/2020,AL,Elmore County,1051,25,362
08/05/2020,02/01/2020,08/01/2020,AL,Etowah County,1055,27,782
08/05/2020,02/01/2020,08/01/2020,AL,Houston County,1069,85,970
08/05/2020,02/01/2020,08/01/2020,AL,Jefferson County,1073,277,4897
08/05/2020,02/01/2020,08/01/2020,AL,Lauderdale County,1077,14,709
08/05/2020,02/01/2020,08/01/2020,AL,Lee County,1081,83,640
08/05/2020,02/01/2020,08/01/2020,AL,Limestone County,1083,15,374
08/05/2020,02/01/2020,08/01/2020,AL,Madison County,1089,42,2027
08/05/2020,02/01/2020,08/01/2020,AL,Marengo County,1091,10,127
08/05/2020,02/01/2020,08/01/2020,AL,Marion County,1093,11,206
08/05/2020,02/01/2020,08/01/2020,AL,Marshall County,1095,30,607
08/05/2020,02/01/2020,08/01/2020,AL,Mobile County,1097,223,2664
08/05/2020,02/01/2020,08/01/2020,AL,Montgomery County,1101,206,1624
08/05/2020,02/01/2020,08/01/2020,AL,Morgan County,1103,15,666
08/05/2020,02/01/2020,08/01/2020,AL,Shelby County,1117,30,694
08/05/2020,02/01/2020,08/01/2020,AL,Tallapoosa County,1123,59,300
08/05/2020,02/01/2020,08/01/2020,AL,Tuscaloosa County,1125,101,1140
08/05/2020,02/01/2020,08/01/2020,AL,Walker County,1127,34,504
