"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Fairfield County, CT"	"09001"	"Jan., 1999"	"1999/01"	693	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Feb., 1999"	"1999/02"	629	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Mar., 1999"	"1999/03"	616	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Apr., 1999"	"1999/04"	581	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"May, 1999"	"1999/05"	574	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jun., 1999"	"1999/06"	502	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jul., 1999"	"1999/07"	536	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Aug., 1999"	"1999/08"	561	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Sep., 1999"	"1999/09"	518	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Oct., 1999"	"1999/10"	566	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Nov., 1999"	"1999/11"	577	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Dec., 1999"	"1999/12"	621	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	"Jan., 1999"	"1999/01"	858	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	"Feb., 1999"	"1999/02"	728	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	"Mar., 1999"	"1999/03"	737	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	"Apr., 1999"	"1999/04"	695	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	"May, 1999"	"1999/05"	672	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	"Jun., 1999"	"1999/06"	633	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	"Jul., 1999"	"1999/07"	609	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	"Aug., 1999"	"1999/08"	614	Not Applicable	Not Applicable
