Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
11/24/2021,01/01/2020,11/20/2021,AK,Aleutians East Borough,2013,Noncore,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Anchorage Municipality,2020,Medium metro,459,4501,
11/24/2021,01/01/2020,11/20/2021,AK,Bethel Census Area,2050,Noncore,18,202,
11/24/2021,01/01/2020,11/20/2021,AK,Denali Borough,2068,Noncore,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Dillingham Census Area,2070,Noncore,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Fairbanks North Star Borough,2090,Small metro,123,1074,
11/24/2021,01/01/2020,11/20/2021,AK,Hoonah-Angoon Census Area,2105,Noncore,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Juneau City and Borough,2110,Micropolitan,,324,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Kenai Peninsula Borough,2122,Noncore,49,755,
11/24/2021,01/01/2020,11/20/2021,AK,Ketchikan Gateway Borough,2130,Micropolitan,10,184,
11/24/2021,01/01/2020,11/20/2021,AK,Kodiak Island Borough,2150,Noncore,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,133,1279,
11/24/2021,01/01/2020,11/20/2021,AK,North Slope Borough,2185,Noncore,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Northwest Arctic Borough,2188,Noncore,,80,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Sitka City and Borough,2220,Noncore,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Southeast Fairbanks Census Area,2240,Noncore,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Valdez-Cordova Census Area,2261,Noncore,,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AK,Wade Hampton Census Area,2270,Noncore,,81,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AL,Autauga County,1001,Medium metro,129,1008,
11/24/2021,01/01/2020,11/20/2021,AL,Baldwin County,1003,Small metro,511,4649,
11/24/2021,01/01/2020,11/20/2021,AL,Barbour County,1005,Noncore,59,520,
11/24/2021,01/01/2020,11/20/2021,AL,Bibb County,1007,Large fringe metro,39,379,
11/24/2021,01/01/2020,11/20/2021,AL,Blount County,1009,Large fringe metro,67,955,
11/24/2021,01/01/2020,11/20/2021,AL,Bullock County,1011,Noncore,,188,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/24/2021,01/01/2020,11/20/2021,AL,Butler County,1013,Noncore,61,471,
11/24/2021,01/01/2020,11/20/2021,AL,Calhoun County,1015,Small metro,487,3238,
11/24/2021,01/01/2020,11/20/2021,AL,Chambers County,1017,Micropolitan,43,691,
11/24/2021,01/01/2020,11/20/2021,AL,Cherokee County,1019,Noncore,26,547,
11/24/2021,01/01/2020,11/20/2021,AL,Chilton County,1021,Large fringe metro,54,781,
11/24/2021,01/01/2020,11/20/2021,AL,Choctaw County,1023,Noncore,18,237,
11/24/2021,01/01/2020,11/20/2021,AL,Clarke County,1025,Noncore,24,545,
11/24/2021,01/01/2020,11/20/2021,AL,Clay County,1027,Noncore,42,367,
11/24/2021,01/01/2020,11/20/2021,AL,Cleburne County,1029,Noncore,22,276,
11/24/2021,01/01/2020,11/20/2021,AL,Coffee County,1031,Micropolitan,158,1074,
11/24/2021,01/01/2020,11/20/2021,AL,Colbert County,1033,Small metro,245,1434,
