Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
12/30/2020,02/01/2020,12/26/2020,AK,Anchorage Borough,2020,Medium metro,95,1913
12/30/2020,02/01/2020,12/26/2020,AK,Fairbanks North Star Borough,2090,Small metro,20,471
12/30/2020,02/01/2020,12/26/2020,AL,Autauga County,1001,Medium metro,39,458
12/30/2020,02/01/2020,12/26/2020,AL,Baldwin County,1003,Small metro,109,2040
12/30/2020,02/01/2020,12/26/2020,AL,Barbour County,1005,Noncore,17,253
12/30/2020,02/01/2020,12/26/2020,AL,Bibb County,1007,Large fringe metro,20,175
12/30/2020,02/01/2020,12/26/2020,AL,Blount County,1009,Large fringe metro,17,449
12/30/2020,02/01/2020,12/26/2020,AL,Butler County,1013,Noncore,27,208
12/30/2020,02/01/2020,12/26/2020,AL,Calhoun County,1015,Small metro,145,1453
12/30/2020,02/01/2020,12/26/2020,AL,Chambers County,1017,Micropolitan,11,340
12/30/2020,02/01/2020,12/26/2020,AL,Cherokee County,1019,Noncore,10,267
12/30/2020,02/01/2020,12/26/2020,AL,Chilton County,1021,Large fringe metro,20,371
12/30/2020,02/01/2020,12/26/2020,AL,Choctaw County,1023,Noncore,12,104
12/30/2020,02/01/2020,12/26/2020,AL,Clay County,1027,Noncore,31,173
12/30/2020,02/01/2020,12/26/2020,AL,Coffee County,1031,Micropolitan,25,487
12/30/2020,02/01/2020,12/26/2020,AL,Colbert County,1033,Small metro,76,611
12/30/2020,02/01/2020,12/26/2020,AL,Covington County,1039,Noncore,63,517
12/30/2020,02/01/2020,12/26/2020,AL,Crenshaw County,1041,Noncore,26,175
12/30/2020,02/01/2020,12/26/2020,AL,Cullman County,1043,Micropolitan,90,1025
12/30/2020,02/01/2020,12/26/2020,AL,Dale County,1045,Micropolitan,55,425
12/30/2020,02/01/2020,12/26/2020,AL,Dallas County,1047,Micropolitan,61,449
12/30/2020,02/01/2020,12/26/2020,AL,DeKalb County,1049,Noncore,51,667
12/30/2020,02/01/2020,12/26/2020,AL,Elmore County,1051,Medium metro,38,610
12/30/2020,02/01/2020,12/26/2020,AL,Escambia County,1053,Noncore,24,347
12/30/2020,02/01/2020,12/26/2020,AL,Etowah County,1055,Small metro,188,1544
12/30/2020,02/01/2020,12/26/2020,AL,Franklin County,1059,Noncore,15,281
12/30/2020,02/01/2020,12/26/2020,AL,Geneva County,1061,Small metro,21,302
12/30/2020,02/01/2020,12/26/2020,AL,Houston County,1069,Small metro,328,1888
12/30/2020,02/01/2020,12/26/2020,AL,Jackson County,1071,Micropolitan,30,597
12/30/2020,02/01/2020,12/26/2020,AL,Jefferson County,1073,Large central metro,933,9373
12/30/2020,02/01/2020,12/26/2020,AL,Lauderdale County,1077,Small metro,132,1389
12/30/2020,02/01/2020,12/26/2020,AL,Lee County,1081,Small metro,176,1186
12/30/2020,02/01/2020,12/26/2020,AL,Limestone County,1083,Medium metro,55,770
12/30/2020,02/01/2020,12/26/2020,AL,Madison County,1089,Medium metro,259,3909
12/30/2020,02/01/2020,12/26/2020,AL,Marengo County,1091,Noncore,18,220
12/30/2020,02/01/2020,12/26/2020,AL,Marion County,1093,Noncore,33,361
12/30/2020,02/01/2020,12/26/2020,AL,Marshall County,1095,Micropolitan,102,1153
12/30/2020,02/01/2020,12/26/2020,AL,Mobile County,1097,Medium metro,541,5051
12/30/2020,02/01/2020,12/26/2020,AL,Montgomery County,1101,Medium metro,456,3019
12/30/2020,02/01/2020,12/26/2020,AL,Morgan County,1103,Small metro,110,1308
12/30/2020,02/01/2020,12/26/2020,AL,Pike County,1109,Micropolitan,23,281
12/30/2020,02/01/2020,12/26/2020,AL,Randolph County,1111,Noncore,13,202
12/30/2020,02/01/2020,12/26/2020,AL,Russell County,1113,Medium metro,16,357
12/30/2020,02/01/2020,12/26/2020,AL,St. Clair County,1115,Large fringe metro,50,748
12/30/2020,02/01/2020,12/26/2020,AL,Shelby County,1117,Large fringe metro,108,1361
12/30/2020,02/01/2020,12/26/2020,AL,Talladega County,1121,Micropolitan,63,840
12/30/2020,02/01/2020,12/26/2020,AL,Tallapoosa County,1123,Noncore,80,514
12/30/2020,02/01/2020,12/26/2020,AL,Tuscaloosa County,1125,Small metro,312,2260
12/30/2020,02/01/2020,12/26/2020,AL,Walker County,1127,Large fringe metro,93,942
12/30/2020,02/01/2020,12/26/2020,AL,Washington County,1129,Noncore,10,117
12/30/2020,02/01/2020,12/26/2020,AL,Winston County,1133,Noncore,11,251
12/30/2020,02/01/2020,12/26/2020,AR,Baxter County,5005,Micropolitan,80,864
12/30/2020,02/01/2020,12/26/2020,AR,Benton County,5007,Medium metro,257,1880
12/30/2020,02/01/2020,12/26/2020,AR,Boone County,5009,Micropolitan,50,417
12/30/2020,02/01/2020,12/26/2020,AR,Carroll County,5015,Noncore,11,197
12/30/2020,02/01/2020,12/26/2020,AR,Chicot County,5017,Noncore,14,99
12/30/2020,02/01/2020,12/26/2020,AR,Clark County,5019,Micropolitan,13,207
12/30/2020,02/01/2020,12/26/2020,AR,Clay County,5021,Noncore,18,168
12/30/2020,02/01/2020,12/26/2020,AR,Cleburne County,5023,Noncore,11,261
12/30/2020,02/01/2020,12/26/2020,AR,Columbia County,5027,Micropolitan,33,267
12/30/2020,02/01/2020,12/26/2020,AR,Craighead County,5031,Small metro,335,2113
12/30/2020,02/01/2020,12/26/2020,AR,Crawford County,5033,Medium metro,13,423
12/30/2020,02/01/2020,12/26/2020,AR,Crittenden County,5035,Large fringe metro,25,336
12/30/2020,02/01/2020,12/26/2020,AR,Cross County,5037,Noncore,10,157
12/30/2020,02/01/2020,12/26/2020,AR,Dallas County,5039,Noncore,11,79
12/30/2020,02/01/2020,12/26/2020,AR,Faulkner County,5045,Medium metro,91,1016
12/30/2020,02/01/2020,12/26/2020,AR,Franklin County,5047,Noncore,17,167
12/30/2020,02/01/2020,12/26/2020,AR,Fulton County,5049,Noncore,23,153
12/30/2020,02/01/2020,12/26/2020,AR,Garland County,5051,Small metro,191,1727
12/30/2020,02/01/2020,12/26/2020,AR,Greene County,5055,Micropolitan,25,369
12/30/2020,02/01/2020,12/26/2020,AR,Hempstead County,5057,Noncore,10,158
12/30/2020,02/01/2020,12/26/2020,AR,Hot Spring County,5059,Micropolitan,13,274
12/30/2020,02/01/2020,12/26/2020,AR,Howard County,5061,Noncore,12,140
12/30/2020,02/01/2020,12/26/2020,AR,Independence County,5063,Micropolitan,94,530
12/30/2020,02/01/2020,12/26/2020,AR,Jefferson County,5069,Small metro,118,892
12/30/2020,02/01/2020,12/26/2020,AR,Lawrence County,5075,Noncore,19,155
12/30/2020,02/01/2020,12/26/2020,AR,Little River County,5081,Small metro,26,144
12/30/2020,02/01/2020,12/26/2020,AR,Lonoke County,5085,Medium metro,27,429
12/30/2020,02/01/2020,12/26/2020,AR,Marion County,5089,Noncore,18,185
12/30/2020,02/01/2020,12/26/2020,AR,Mississippi County,5093,Micropolitan,27,358
12/30/2020,02/01/2020,12/26/2020,AR,Newton County,5101,Micropolitan,13,88
12/30/2020,02/01/2020,12/26/2020,AR,Ouachita County,5103,Micropolitan,16,265
12/30/2020,02/01/2020,12/26/2020,AR,Poinsett County,5111,Small metro,12,157
12/30/2020,02/01/2020,12/26/2020,AR,Polk County,5113,Noncore,36,197
12/30/2020,02/01/2020,12/26/2020,AR,Pope County,5115,Micropolitan,34,623
12/30/2020,02/01/2020,12/26/2020,AR,Pulaski County,5119,Medium metro,560,6122
12/30/2020,02/01/2020,12/26/2020,AR,Randolph County,5121,Noncore,18,150
12/30/2020,02/01/2020,12/26/2020,AR,Saline County,5125,Medium metro,71,886
12/30/2020,02/01/2020,12/26/2020,AR,Sebastian County,5131,Medium metro,228,2170
12/30/2020,02/01/2020,12/26/2020,AR,Sharp County,5135,Noncore,11,181
12/30/2020,02/01/2020,12/26/2020,AR,Stone County,5137,Noncore,15,149
12/30/2020,02/01/2020,12/26/2020,AR,Union County,5139,Micropolitan,62,528
12/30/2020,02/01/2020,12/26/2020,AR,Washington County,5143,Medium metro,268,2264
12/30/2020,02/01/2020,12/26/2020,AR,White County,5145,Micropolitan,83,916
12/30/2020,02/01/2020,12/26/2020,AR,Yell County,5149,Micropolitan,15,165
12/30/2020,02/01/2020,12/26/2020,AZ,Apache County,4001,Noncore,54,510
12/30/2020,02/01/2020,12/26/2020,AZ,Cochise County,4003,Small metro,53,1018
12/30/2020,02/01/2020,12/26/2020,AZ,Coconino County,4005,Small metro,158,1160
12/30/2020,02/01/2020,12/26/2020,AZ,Gila County,4007,Micropolitan,58,671
12/30/2020,02/01/2020,12/26/2020,AZ,Graham County,4009,Micropolitan,32,277
12/30/2020,02/01/2020,12/26/2020,AZ,Maricopa County,4013,Large central metro,4527,39052
12/30/2020,02/01/2020,12/26/2020,AZ,Mohave County,4015,Small metro,246,3228
12/30/2020,02/01/2020,12/26/2020,AZ,Navajo County,4017,Micropolitan,87,1001
12/30/2020,02/01/2020,12/26/2020,AZ,Pima County,4019,Medium metro,1049,11410
12/30/2020,02/01/2020,12/26/2020,AZ,Pinal County,4021,Large fringe metro,136,2465
12/30/2020,02/01/2020,12/26/2020,AZ,Santa Cruz County,4023,Micropolitan,11,229
12/30/2020,02/01/2020,12/26/2020,AZ,Yavapai County,4025,Small metro,147,2989
12/30/2020,02/01/2020,12/26/2020,AZ,Yuma County,4027,Small metro,402,2027
12/30/2020,02/01/2020,12/26/2020,CA,Alameda County,6001,Large central metro,533,9879
12/30/2020,02/01/2020,12/26/2020,CA,Amador County,6005,Noncore,30,373
12/30/2020,02/01/2020,12/26/2020,CA,Butte County,6007,Small metro,86,2111
12/30/2020,02/01/2020,12/26/2020,CA,Calaveras County,6009,Noncore,12,341
12/30/2020,02/01/2020,12/26/2020,CA,Colusa County,6011,Noncore,12,106
12/30/2020,02/01/2020,12/26/2020,CA,Contra Costa County,6013,Large fringe metro,270,7388
12/30/2020,02/01/2020,12/26/2020,CA,Fresno County,6019,Medium metro,603,7655
12/30/2020,02/01/2020,12/26/2020,CA,Imperial County,6025,Small metro,245,1161
12/30/2020,02/01/2020,12/26/2020,CA,Inyo County,6027,Noncore,14,165
12/30/2020,02/01/2020,12/26/2020,CA,Kern County,6029,Medium metro,517,6256
12/30/2020,02/01/2020,12/26/2020,CA,Kings County,6031,Small metro,146,913
12/30/2020,02/01/2020,12/26/2020,CA,Lake County,6033,Micropolitan,21,583
12/30/2020,02/01/2020,12/26/2020,CA,Los Angeles County,6037,Large central metro,7610,68565
12/30/2020,02/01/2020,12/26/2020,CA,Madera County,6039,Small metro,101,936
12/30/2020,02/01/2020,12/26/2020,CA,Marin County,6041,Large fringe metro,114,1855
12/30/2020,02/01/2020,12/26/2020,CA,Mendocino County,6045,Micropolitan,20,783
12/30/2020,02/01/2020,12/26/2020,CA,Merced County,6047,Medium metro,119,1469
12/30/2020,02/01/2020,12/26/2020,CA,Monterey County,6053,Medium metro,156,2572
12/30/2020,02/01/2020,12/26/2020,CA,Napa County,6055,Small metro,30,1122
12/30/2020,02/01/2020,12/26/2020,CA,Nevada County,6057,Micropolitan,36,918
12/30/2020,02/01/2020,12/26/2020,CA,Orange County,6059,Large central metro,1739,20682
12/30/2020,02/01/2020,12/26/2020,CA,Placer County,6061,Large fringe metro,159,3664
12/30/2020,02/01/2020,12/26/2020,CA,Riverside County,6065,Large central metro,1741,17663
12/30/2020,02/01/2020,12/26/2020,CA,Sacramento County,6067,Large central metro,690,11959
12/30/2020,02/01/2020,12/26/2020,CA,San Benito County,6069,Large fringe metro,14,274
12/30/2020,02/01/2020,12/26/2020,CA,San Bernardino County,6071,Large fringe metro,1674,15825
12/30/2020,02/01/2020,12/26/2020,CA,San Diego County,6073,Large central metro,1411,22056
12/30/2020,02/01/2020,12/26/2020,CA,San Francisco County,6075,Large central metro,178,5805
12/30/2020,02/01/2020,12/26/2020,CA,San Joaquin County,6077,Medium metro,557,5645
12/30/2020,02/01/2020,12/26/2020,CA,San Luis Obispo County,6079,Medium metro,50,2110
12/30/2020,02/01/2020,12/26/2020,CA,San Mateo County,6081,Large fringe metro,206,4317
12/30/2020,02/01/2020,12/26/2020,CA,Santa Barbara County,6083,Medium metro,158,3148
12/30/2020,02/01/2020,12/26/2020,CA,Santa Clara County,6085,Large central metro,514,10464
12/30/2020,02/01/2020,12/26/2020,CA,Santa Cruz County,6087,Medium metro,68,1563
12/30/2020,02/01/2020,12/26/2020,CA,Shasta County,6089,Small metro,72,2310
12/30/2020,02/01/2020,12/26/2020,CA,Solano County,6095,Medium metro,149,3194
12/30/2020,02/01/2020,12/26/2020,CA,Sonoma County,6097,Medium metro,180,3948
12/30/2020,02/01/2020,12/26/2020,CA,Stanislaus County,6099,Medium metro,634,5318
12/30/2020,02/01/2020,12/26/2020,CA,Sutter County,6101,Small metro,15,531
12/30/2020,02/01/2020,12/26/2020,CA,Tehama County,6103,Micropolitan,29,522
12/30/2020,02/01/2020,12/26/2020,CA,Tulare County,6107,Medium metro,355,3123
12/30/2020,02/01/2020,12/26/2020,CA,Tuolumne County,6109,Micropolitan,21,620
12/30/2020,02/01/2020,12/26/2020,CA,Ventura County,6111,Medium metro,222,5511
12/30/2020,02/01/2020,12/26/2020,CA,Yolo County,6113,Large fringe metro,78,1126
12/30/2020,02/01/2020,12/26/2020,CA,Yuba County,6115,Small metro,27,714
12/30/2020,02/01/2020,12/26/2020,CO,Adams County,8001,Large fringe metro,504,3769
12/30/2020,02/01/2020,12/26/2020,CO,Alamosa County,8003,Noncore,22,161
12/30/2020,02/01/2020,12/26/2020,CO,Arapahoe County,8005,Large fringe metro,562,4489
12/30/2020,02/01/2020,12/26/2020,CO,Boulder County,8013,Medium metro,195,2299
12/30/2020,02/01/2020,12/26/2020,CO,Broomfield County,8014,Large fringe metro,33,315
12/30/2020,02/01/2020,12/26/2020,CO,Chaffee County,8015,Noncore,18,164
12/30/2020,02/01/2020,12/26/2020,CO,Delta County,8029,Noncore,13,299
12/30/2020,02/01/2020,12/26/2020,CO,Denver County,8031,Large central metro,508,5183
12/30/2020,02/01/2020,12/26/2020,CO,Douglas County,8035,Large fringe metro,167,1655
12/30/2020,02/01/2020,12/26/2020,CO,El Paso County,8041,Medium metro,430,5280
12/30/2020,02/01/2020,12/26/2020,CO,Garfield County,8045,Micropolitan,15,333
12/30/2020,02/01/2020,12/26/2020,CO,Jefferson County,8059,Large fringe metro,519,4916
12/30/2020,02/01/2020,12/26/2020,CO,La Plata County,8067,Micropolitan,17,398
12/30/2020,02/01/2020,12/26/2020,CO,Larimer County,8069,Medium metro,145,2574
12/30/2020,02/01/2020,12/26/2020,CO,Logan County,8075,Micropolitan,41,216
12/30/2020,02/01/2020,12/26/2020,CO,Mesa County,8077,Small metro,121,1820
12/30/2020,02/01/2020,12/26/2020,CO,Moffat County,8081,Micropolitan,17,131
12/30/2020,02/01/2020,12/26/2020,CO,Montrose County,8085,Micropolitan,26,405
12/30/2020,02/01/2020,12/26/2020,CO,Morgan County,8087,Micropolitan,47,243
12/30/2020,02/01/2020,12/26/2020,CO,Prowers County,8099,Noncore,11,109
12/30/2020,02/01/2020,12/26/2020,CO,Pueblo County,8101,Small metro,210,2154
12/30/2020,02/01/2020,12/26/2020,CO,Routt County,8107,Micropolitan,14,109
12/30/2020,02/01/2020,12/26/2020,CO,Weld County,8123,Medium metro,197,1670
12/30/2020,02/01/2020,12/26/2020,CT,Fairfield County,9001,Medium metro,1528,7042
12/30/2020,02/01/2020,12/26/2020,CT,Hartford County,9003,Large central metro,1647,8723
12/30/2020,02/01/2020,12/26/2020,CT,Litchfield County,9005,Micropolitan,150,1377
12/30/2020,02/01/2020,12/26/2020,CT,Middlesex County,9007,Large fringe metro,197,1341
12/30/2020,02/01/2020,12/26/2020,CT,New Haven County,9009,Medium metro,1298,8386
12/30/2020,02/01/2020,12/26/2020,CT,New London County,9011,Medium metro,179,2044
12/30/2020,02/01/2020,12/26/2020,CT,Tolland County,9013,Large fringe metro,55,654
12/30/2020,02/01/2020,12/26/2020,CT,Windham County,9015,Medium metro,23,821
12/30/2020,02/01/2020,12/26/2020,DC,District of Columbia,11001,Large central metro,877,6404
12/30/2020,02/01/2020,12/26/2020,DE,Kent County,10001,Small metro,121,1667
12/30/2020,02/01/2020,12/26/2020,DE,New Castle County,10003,Large fringe metro,348,4875
12/30/2020,02/01/2020,12/26/2020,DE,Sussex County,10005,Medium metro,246,2465
12/30/2020,02/01/2020,12/26/2020,FL,Alachua County,12001,Medium metro,317,3557
12/30/2020,02/01/2020,12/26/2020,FL,Bay County,12005,Small metro,179,1936
12/30/2020,02/01/2020,12/26/2020,FL,Brevard County,12009,Medium metro,460,7316
12/30/2020,02/01/2020,12/26/2020,FL,Broward County,12011,Large fringe metro,1884,16090
12/30/2020,02/01/2020,12/26/2020,FL,Charlotte County,12015,Small metro,200,2926
12/30/2020,02/01/2020,12/26/2020,FL,Citrus County,12017,Small metro,160,2649
12/30/2020,02/01/2020,12/26/2020,FL,Clay County,12019,Large fringe metro,162,2175
12/30/2020,02/01/2020,12/26/2020,FL,Collier County,12021,Medium metro,335,3693
12/30/2020,02/01/2020,12/26/2020,FL,Columbia County,12023,Micropolitan,98,979
12/30/2020,02/01/2020,12/26/2020,FL,DeSoto County,12027,Micropolitan,15,322
