Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
02/17/2021,01/01/2020,02/13/2021,AK,Anchorage Borough,2020,Medium metro,170,2478
02/17/2021,01/01/2020,02/13/2021,AK,Bethel Census Area,2050,Noncore,12,119
02/17/2021,01/01/2020,02/13/2021,AK,Fairbanks North Star Borough,2090,Small metro,31,581
02/17/2021,01/01/2020,02/13/2021,AK,Kenai Peninsula Borough,2122,Noncore,14,406
02/17/2021,01/01/2020,02/13/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,31,692
02/17/2021,01/01/2020,02/13/2021,AL,Autauga County,1001,Medium metro,73,585
02/17/2021,01/01/2020,02/13/2021,AL,Baldwin County,1003,Small metro,200,2569
02/17/2021,01/01/2020,02/13/2021,AL,Barbour County,1005,Noncore,27,313
02/17/2021,01/01/2020,02/13/2021,AL,Bibb County,1007,Large fringe metro,25,205
02/17/2021,01/01/2020,02/13/2021,AL,Blount County,1009,Large fringe metro,42,565
02/17/2021,01/01/2020,02/13/2021,AL,Butler County,1013,Noncore,30,260
02/17/2021,01/01/2020,02/13/2021,AL,Calhoun County,1015,Small metro,237,1856
02/17/2021,01/01/2020,02/13/2021,AL,Chambers County,1017,Micropolitan,26,421
02/17/2021,01/01/2020,02/13/2021,AL,Cherokee County,1019,Noncore,16,329
02/17/2021,01/01/2020,02/13/2021,AL,Chilton County,1021,Large fringe metro,25,456
02/17/2021,01/01/2020,02/13/2021,AL,Choctaw County,1023,Noncore,13,121
02/17/2021,01/01/2020,02/13/2021,AL,Clay County,1027,Noncore,34,226
02/17/2021,01/01/2020,02/13/2021,AL,Cleburne County,1029,Noncore,12,154
02/17/2021,01/01/2020,02/13/2021,AL,Coffee County,1031,Micropolitan,63,630
02/17/2021,01/01/2020,02/13/2021,AL,Colbert County,1033,Small metro,151,829
02/17/2021,01/01/2020,02/13/2021,AL,Covington County,1039,Noncore,91,651
02/17/2021,01/01/2020,02/13/2021,AL,Crenshaw County,1041,Noncore,30,228
02/17/2021,01/01/2020,02/13/2021,AL,Cullman County,1043,Micropolitan,185,1340
02/17/2021,01/01/2020,02/13/2021,AL,Dale County,1045,Micropolitan,65,530
02/17/2021,01/01/2020,02/13/2021,AL,Dallas County,1047,Micropolitan,101,614
02/17/2021,01/01/2020,02/13/2021,AL,DeKalb County,1049,Noncore,99,875
02/17/2021,01/01/2020,02/13/2021,AL,Elmore County,1051,Medium metro,55,789
02/17/2021,01/01/2020,02/13/2021,AL,Escambia County,1053,Noncore,45,458
02/17/2021,01/01/2020,02/13/2021,AL,Etowah County,1055,Small metro,319,1981
02/17/2021,01/01/2020,02/13/2021,AL,Fayette County,1057,Noncore,23,192
02/17/2021,01/01/2020,02/13/2021,AL,Franklin County,1059,Noncore,26,369
02/17/2021,01/01/2020,02/13/2021,AL,Geneva County,1061,Small metro,29,372
02/17/2021,01/01/2020,02/13/2021,AL,Hale County,1065,Small metro,18,179
02/17/2021,01/01/2020,02/13/2021,AL,Houston County,1069,Small metro,487,2411
02/17/2021,01/01/2020,02/13/2021,AL,Jackson County,1071,Micropolitan,58,753
02/17/2021,01/01/2020,02/13/2021,AL,Jefferson County,1073,Large central metro,1693,12337
02/17/2021,01/01/2020,02/13/2021,AL,Lauderdale County,1077,Small metro,229,1800
02/17/2021,01/01/2020,02/13/2021,AL,Lawrence County,1079,Small metro,19,369
02/17/2021,01/01/2020,02/13/2021,AL,Lee County,1081,Small metro,243,1496
02/17/2021,01/01/2020,02/13/2021,AL,Limestone County,1083,Medium metro,99,988
02/17/2021,01/01/2020,02/13/2021,AL,Madison County,1089,Medium metro,528,5061
02/17/2021,01/01/2020,02/13/2021,AL,Marengo County,1091,Noncore,40,313
02/17/2021,01/01/2020,02/13/2021,AL,Marion County,1093,Noncore,67,481
02/17/2021,01/01/2020,02/13/2021,AL,Marshall County,1095,Micropolitan,172,1467
02/17/2021,01/01/2020,02/13/2021,AL,Mobile County,1097,Medium metro,748,6416
02/17/2021,01/01/2020,02/13/2021,AL,Monroe County,1099,Noncore,18,253
02/17/2021,01/01/2020,02/13/2021,AL,Montgomery County,1101,Medium metro,678,3911
02/17/2021,01/01/2020,02/13/2021,AL,Morgan County,1103,Small metro,200,1688
02/17/2021,01/01/2020,02/13/2021,AL,Pickens County,1107,Small metro,10,192
02/17/2021,01/01/2020,02/13/2021,AL,Pike County,1109,Micropolitan,56,373
02/17/2021,01/01/2020,02/13/2021,AL,Randolph County,1111,Noncore,13,231
02/17/2021,01/01/2020,02/13/2021,AL,Russell County,1113,Medium metro,29,451
02/17/2021,01/01/2020,02/13/2021,AL,St. Clair County,1115,Large fringe metro,95,950
02/17/2021,01/01/2020,02/13/2021,AL,Shelby County,1117,Large fringe metro,148,1671
02/17/2021,01/01/2020,02/13/2021,AL,Talladega County,1121,Micropolitan,104,1060
