Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
09/09/2020,02/01/2020,09/05/2020,AL,Autauga County,1001,20,300
09/09/2020,02/01/2020,09/05/2020,AL,Baldwin County,1003,52,1290
09/09/2020,02/01/2020,09/05/2020,AL,Butler County,1013,24,141
09/09/2020,02/01/2020,09/05/2020,AL,Calhoun County,1015,51,935
09/09/2020,02/01/2020,09/05/2020,AL,Clay County,1027,14,103
09/09/2020,02/01/2020,09/05/2020,AL,Colbert County,1033,26,374
09/09/2020,02/01/2020,09/05/2020,AL,Covington County,1039,52,350
09/09/2020,02/01/2020,09/05/2020,AL,Crenshaw County,1041,22,131
09/09/2020,02/01/2020,09/05/2020,AL,Cullman County,1043,22,610
09/09/2020,02/01/2020,09/05/2020,AL,Dale County,1045,46,307
09/09/2020,02/01/2020,09/05/2020,AL,Dallas County,1047,36,301
09/09/2020,02/01/2020,09/05/2020,AL,DeKalb County,1049,13,420
09/09/2020,02/01/2020,09/05/2020,AL,Elmore County,1051,30,426
09/09/2020,02/01/2020,09/05/2020,AL,Escambia County,1053,16,226
09/09/2020,02/01/2020,09/05/2020,AL,Etowah County,1055,86,996
09/09/2020,02/01/2020,09/05/2020,AL,Franklin County,1059,12,184
09/09/2020,02/01/2020,09/05/2020,AL,Houston County,1069,164,1223
09/09/2020,02/01/2020,09/05/2020,AL,Jefferson County,1073,457,5960
09/09/2020,02/01/2020,09/05/2020,AL,Lauderdale County,1077,38,845
09/09/2020,02/01/2020,09/05/2020,AL,Lee County,1081,115,795
09/09/2020,02/01/2020,09/05/2020,AL,Limestone County,1083,26,471
09/09/2020,02/01/2020,09/05/2020,AL,Madison County,1089,99,2447
09/09/2020,02/01/2020,09/05/2020,AL,Marengo County,1091,15,157
09/09/2020,02/01/2020,09/05/2020,AL,Marion County,1093,21,243
09/09/2020,02/01/2020,09/05/2020,AL,Marshall County,1095,42,724
09/09/2020,02/01/2020,09/05/2020,AL,Mobile County,1097,322,3236
09/09/2020,02/01/2020,09/05/2020,AL,Montgomery County,1101,285,1965
09/09/2020,02/01/2020,09/05/2020,AL,Morgan County,1103,37,805
09/09/2020,02/01/2020,09/05/2020,AL,Pike County,1109,14,177
09/09/2020,02/01/2020,09/05/2020,AL,St. Clair County,1115,23,491
09/09/2020,02/01/2020,09/05/2020,AL,Shelby County,1117,57,869
09/09/2020,02/01/2020,09/05/2020,AL,Talladega County,1121,17,499
09/09/2020,02/01/2020,09/05/2020,AL,Tallapoosa County,1123,65,341
09/09/2020,02/01/2020,09/05/2020,AL,Tuscaloosa County,1125,160,1429
09/09/2020,02/01/2020,09/05/2020,AL,Walker County,1127,53,616
09/09/2020,02/01/2020,09/05/2020,AL,Washington County,1129,10,84
09/09/2020,02/01/2020,09/05/2020,AL,Winston County,1133,10,170
09/09/2020,02/01/2020,09/05/2020,AK,Anchorage Borough,2020,25,1207
09/09/2020,02/01/2020,09/05/2020,AZ,Apache County,4001,39,299
09/09/2020,02/01/2020,09/05/2020,AZ,Cochise County,4003,29,668
09/09/2020,02/01/2020,09/05/2020,AZ,Coconino County,4005,121,778
09/09/2020,02/01/2020,09/05/2020,AZ,Gila County,4007,25,460
09/09/2020,02/01/2020,09/05/2020,AZ,Graham County,4009,19,201
09/09/2020,02/01/2020,09/05/2020,AZ,Maricopa County,4013,3082,26611
09/09/2020,02/01/2020,09/05/2020,AZ,Mohave County,4015,179,2218
09/09/2020,02/01/2020,09/05/2020,AZ,Navajo County,4017,56,662
09/09/2020,02/01/2020,09/05/2020,AZ,Pima County,4019,691,7708
09/09/2020,02/01/2020,09/05/2020,AZ,Pinal County,4021,72,1687
09/09/2020,02/01/2020,09/05/2020,AZ,Yavapai County,4025,71,1956
09/09/2020,02/01/2020,09/05/2020,AZ,Yuma County,4027,295,1414
09/09/2020,02/01/2020,09/05/2020,AR,Benton County,5007,88,1153
09/09/2020,02/01/2020,09/05/2020,AR,Chicot County,5017,10,62
09/09/2020,02/01/2020,09/05/2020,AR,Columbia County,5027,14,165
09/09/2020,02/01/2020,09/05/2020,AR,Craighead County,5031,67,1227
09/09/2020,02/01/2020,09/05/2020,AR,Crittenden County,5035,14,218
09/09/2020,02/01/2020,09/05/2020,AR,Faulkner County,5045,15,625
09/09/2020,02/01/2020,09/05/2020,AR,Garland County,5051,62,1099
09/09/2020,02/01/2020,09/05/2020,AR,Jefferson County,5069,59,588
09/09/2020,02/01/2020,09/05/2020,AR,Little River County,5081,18,104
09/09/2020,02/01/2020,09/05/2020,AR,Mississippi County,5093,15,229
09/09/2020,02/01/2020,09/05/2020,AR,Newton County,5101,13,68
09/09/2020,02/01/2020,09/05/2020,AR,Pope County,5115,17,409
09/09/2020,02/01/2020,09/05/2020,AR,Pulaski County,5119,186,3919
09/09/2020,02/01/2020,09/05/2020,AR,Sebastian County,5131,52,1355
09/09/2020,02/01/2020,09/05/2020,AR,Union County,5139,21,325
09/09/2020,02/01/2020,09/05/2020,AR,Washington County,5143,98,1442
09/09/2020,02/01/2020,09/05/2020,AR,White County,5145,13,542
09/09/2020,02/01/2020,09/05/2020,CA,Alameda County,6001,291,6511
09/09/2020,02/01/2020,09/05/2020,CA,Amador County,6005,22,271
09/09/2020,02/01/2020,09/05/2020,CA,Butte County,6007,28,1311
09/09/2020,02/01/2020,09/05/2020,CA,Contra Costa County,6013,162,4893
09/09/2020,02/01/2020,09/05/2020,CA,Fresno County,6019,300,4894
09/09/2020,02/01/2020,09/05/2020,CA,Imperial County,6025,164,758
09/09/2020,02/01/2020,09/05/2020,CA,Inyo County,6027,13,123
09/09/2020,02/01/2020,09/05/2020,CA,Kern County,6029,311,4104
09/09/2020,02/01/2020,09/05/2020,CA,Kings County,6031,102,628
09/09/2020,02/01/2020,09/05/2020,CA,Los Angeles County,6037,5169,45376
09/09/2020,02/01/2020,09/05/2020,CA,Madera County,6039,66,618
09/09/2020,02/01/2020,09/05/2020,CA,Marin County,6041,68,1225
09/09/2020,02/01/2020,09/05/2020,CA,Mendocino County,6045,14,499
09/09/2020,02/01/2020,09/05/2020,CA,Merced County,6047,60,974
09/09/2020,02/01/2020,09/05/2020,CA,Monterey County,6053,50,1651
09/09/2020,02/01/2020,09/05/2020,CA,Napa County,6055,18,777
09/09/2020,02/01/2020,09/05/2020,CA,Orange County,6059,1069,13540
09/09/2020,02/01/2020,09/05/2020,CA,Placer County,6061,62,2384
09/09/2020,02/01/2020,09/05/2020,CA,Riverside County,6065,1108,11729
09/09/2020,02/01/2020,09/05/2020,CA,Sacramento County,6067,276,7695
09/09/2020,02/01/2020,09/05/2020,CA,San Bernardino County,6071,903,10196
09/09/2020,02/01/2020,09/05/2020,CA,San Diego County,6073,839,14565
09/09/2020,02/01/2020,09/05/2020,CA,San Francisco County,6075,90,3813
09/09/2020,02/01/2020,09/05/2020,CA,San Joaquin County,6077,328,3643
09/09/2020,02/01/2020,09/05/2020,CA,San Luis Obispo County,6079,20,1389
09/09/2020,02/01/2020,09/05/2020,CA,San Mateo County,6081,145,2892
09/09/2020,02/01/2020,09/05/2020,CA,Santa Barbara County,6083,100,2053
09/09/2020,02/01/2020,09/05/2020,CA,Santa Clara County,6085,242,6878
09/09/2020,02/01/2020,09/05/2020,CA,Santa Cruz County,6087,10,976
09/09/2020,02/01/2020,09/05/2020,CA,Shasta County,6089,11,1466
09/09/2020,02/01/2020,09/05/2020,CA,Solano County,6095,68,2090
09/09/2020,02/01/2020,09/05/2020,CA,Sonoma County,6097,77,2636
09/09/2020,02/01/2020,09/05/2020,CA,Stanislaus County,6099,339,3397
09/09/2020,02/01/2020,09/05/2020,CA,Tulare County,6107,233,2051
09/09/2020,02/01/2020,09/05/2020,CA,Ventura County,6111,128,3540
09/09/2020,02/01/2020,09/05/2020,CA,Yolo County,6113,37,720
09/09/2020,02/01/2020,09/05/2020,CA,Yuba County,6115,10,480
09/09/2020,02/01/2020,09/05/2020,CO,Adams County,8001,260,2378
09/09/2020,02/01/2020,09/05/2020,CO,Arapahoe County,8005,397,3062
09/09/2020,02/01/2020,09/05/2020,CO,Boulder County,8013,84,1500
09/09/2020,02/01/2020,09/05/2020,CO,Broomfield County,8014,22,214
09/09/2020,02/01/2020,09/05/2020,CO,Chaffee County,8015,17,123
09/09/2020,02/01/2020,09/05/2020,CO,Denver County,8031,315,3478
09/09/2020,02/01/2020,09/05/2020,CO,Douglas County,8035,64,1049
09/09/2020,02/01/2020,09/05/2020,CO,El Paso County,8041,158,3315
09/09/2020,02/01/2020,09/05/2020,CO,Jefferson County,8059,233,3155
