"","estimate","p.value","type"
"1",-1.89502134619335e-06,1.71157655269015e-236,"income"
"2",-1.89502134619335e-06,1.71157655269015e-236,"income"
"3",-1.89502134619335e-06,1.71157655269015e-236,"income"
"4",-1.89502134619335e-06,1.71157655269015e-236,"income"
"5",-1.89502134619335e-06,1.71157655269015e-236,"income"
"6",-1.89502134619335e-06,1.71157655269015e-236,"income"
"7",-1.89502134619335e-06,1.71157655269015e-236,"income"
"8",-1.89502134619335e-06,1.71157655269015e-236,"income"
"9",-1.89502134619335e-06,1.71157655269015e-236,"income"
"10",-1.89502134619335e-06,1.71157655269015e-236,"income"
"11",-1.89502134619335e-06,1.71157655269015e-236,"income"
"12",-1.89502134619335e-06,1.71157655269015e-236,"income"
"13",-1.89502134619335e-06,1.71157655269015e-236,"income"
"14",-1.89502134619335e-06,1.71157655269015e-236,"income"
"15",-1.89502134619335e-06,1.71157655269015e-236,"income"
"16",-1.89502134619335e-06,1.71157655269015e-236,"income"
"17",-1.89502134619335e-06,1.71157655269015e-236,"income"
"18",-1.89502134619335e-06,1.71157655269015e-236,"income"
"19",-1.89502134619335e-06,1.71157655269015e-236,"income"
"20",-1.89502134619335e-06,1.71157655269015e-236,"income"
"21",-1.89502134619335e-06,1.71157655269015e-236,"income"
"22",-1.89502134619335e-06,1.71157655269015e-236,"income"
"23",-1.89502134619335e-06,1.71157655269015e-236,"income"
"24",-1.89502134619335e-06,1.71157655269015e-236,"income"
"25",-1.89502134619335e-06,1.71157655269015e-236,"income"
"26",-1.89502134619335e-06,1.71157655269015e-236,"income"
"27",-1.89502134619335e-06,1.71157655269015e-236,"income"
"28",-1.89502134619335e-06,1.71157655269015e-236,"income"
"29",-1.89502134619335e-06,1.71157655269015e-236,"income"
"30",-1.89502134619335e-06,1.71157655269015e-236,"income"
"31",-1.89502134619335e-06,1.71157655269015e-236,"income"
"32",-1.89502134619335e-06,1.71157655269015e-236,"income"
"33",-1.89502134619335e-06,1.71157655269015e-236,"income"
