"","year","quant","group","Value","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2020,0.25,1,-0.507417499576175,0.0811902259369469,-6.2497362671492,4.20945056589517e-10
"mean_high_c",2020,0.25,1,0.0220309157727693,0.00221002160890948,9.96864269740794,0
"(Intercept)",2021,0.25,1,0.643504904989007,0.197389614447389,3.26007478554817,0.00111722388046531
"mean_high_c",2021,0.25,1,-0.00563394202970184,0.00543473819478565,-1.03665380516532,0.29992007587772
"(Intercept)",2020,0.5,1,-0.200410730329867,0.104055027015843,-1.92600719136187,0.0541201434039427
"mean_high_c",2020,0.5,1,0.0236169939673982,0.00285066981894275,8.28471744095471,0
"(Intercept)",2021,0.5,1,1.18631578947368,0.264504586285343,4.4850480898426,7.36381602717273e-06
"mean_high_c",2021,0.5,1,-0.00350877192982455,0.00735709075418706,-0.476923834034212,0.633425858677255
"(Intercept)",2020,0.75,1,0.170701094391246,0.24291866410186,0.70270884710476,0.482246841893194
"mean_high_c",2020,0.75,1,0.0339945280437756,0.00654116878546482,5.19701129243372,2.04861876795803e-07
"(Intercept)",2021,0.75,1,0.0788636363636751,0.751690341440192,0.104915058789471,0.916445127650358
"mean_high_c",2021,0.75,1,0.059090909090908,0.0208322595723952,2.83650983156956,0.00456931225172008
"(Intercept)",2020,0.95,1,1.11658127034391,1.40487398856761,0.79479104847144,0.426746162270677
"mean_high_c",2020,0.95,1,0.110460256732606,0.0385573395464686,2.86483087349636,0.0041774359887663
"(Intercept)",2021,0.95,1,-0.84181047981676,3.29744401034636,-0.255291819110626,0.798502503633172
"mean_high_c",2021,0.95,1,0.257396693533767,0.0925651094981693,2.78070965322908,0.00543327018918527
"(Intercept)",2020,0.25,2,-0.642097272858233,0.0640458787020166,-10.0255830019241,0
"mean_high_c",2020,0.25,2,0.0252656774636805,0.00171942986682012,14.6942180959124,0
"(Intercept)",2021,0.25,2,0.809953255963894,0.174749730542648,4.63493278901637,3.60738535443161e-06
"mean_high_c",2021,0.25,2,-0.0084354180098861,0.00485138729801275,-1.73876408781906,0.0821013885149695
"(Intercept)",2020,0.5,2,-0.0976598258790913,0.123058168042198,-0.793607018801082,0.427434690693876
"mean_high_c",2020,0.5,2,0.0202778871881239,0.00335158449969441,6.05023898098727,1.47488021795539e-09
"(Intercept)",2021,0.5,2,0.838570515863944,0.24393946699237,3.43761723432057,0.000588807069506814
"mean_high_c",2021,0.5,2,0.00590050037024663,0.00679382587828696,0.868509213505841,0.385132643831662
"(Intercept)",2020,0.75,2,0.510238806742849,0.240934585804801,2.11774828855925,0.0342100411637829
"mean_high_c",2020,0.75,2,0.0221808695752213,0.00654158552260876,3.39074823657976,0.000698516441568042
"(Intercept)",2021,0.75,2,0.595602653451824,0.674664324840175,0.882813321414201,0.377354463717794
"mean_high_c",2021,0.75,2,0.0430546379667039,0.0187301974971689,2.29867506593092,0.0215401499841406
"(Intercept)",2020,0.95,2,2.99661774524593,1.29073183816697,2.32164238661811,0.0202632878023654
"mean_high_c",2020,0.95,2,0.0240838935539595,0.0348744748277432,0.690587992304343,0.489833386887218
"(Intercept)",2021,0.95,2,8.30081236897277,2.35632460584964,3.52277964944464,0.000428601267915774
