,year,quant,demo,Value,Std. Error,t value,Pr(>|t|)
(Intercept),2020,0.25,0,-0.369167659,0.037141873,-9.939392699,0
mean_high_c,2020,0.25,white,0.019992779,0.001009122,19.8120528,0
(Intercept),2021,0.25,0,0.816386471,0.086513798,9.436488577,0
mean_high_c,2021,0.25,white,-0.00858129,0.002383292,-3.600604238,0.000317821
(Intercept),2020,0.5,0,0.156840514,0.048189609,3.25465418,0.00113593
mean_high_c,2020,0.5,white,0.015117158,0.001294833,11.67498879,0
(Intercept),2021,0.5,0,1.683098922,0.096918178,17.36618405,0
mean_high_c,2021,0.5,white,-0.018180694,0.002672464,-6.802969461,1.04E-11
(Intercept),2020,0.75,0,0.860944552,0.123983511,6.944024588,3.85E-12
mean_high_c,2020,0.75,white,0.012742328,0.003384533,3.764869946,0.000166794
(Intercept),2021,0.75,0,3.029761905,0.317043287,9.556303594,0
mean_high_c,2021,0.75,white,-0.029375387,0.008740564,-3.360811333,0.000777788
(Intercept),2020,0.95,0,2.77574171,0.737556681,3.763428331,0.000167758
mean_high_c,2020,0.95,white,0.034904014,0.020057734,1.740177365,0.081832976
(Intercept),2021,0.95,0,8.240061236,1.685029108,4.890159581,1.01E-06
mean_high_c,2021,0.95,white,-0.05269519,0.045861187,-1.149014948,0.250555953
(Intercept),2020,0.25,1,-0.645846801,0.046175987,-13.9866378,0
mean_high_c,2020,0.25,Majority minority,0.023834653,0.001269007,18.78213547,0
(Intercept),2021,0.25,1,1.435769925,0.177477847,8.089854328,6.66E-16
mean_high_c,2021,0.25,Majority minority,-0.028335967,0.004959787,-5.713141502,1.13E-08
(Intercept),2020,0.5,1,-0.241,0.06078296,-3.964926996,7.36E-05
mean_high_c,2020,0.5,Majority minority,0.02,0.001656967,12.0702472,0
(Intercept),2021,0.5,1,2.110583768,0.152010955,13.88441886,0
mean_high_c,2021,0.5,Majority minority,-0.03480462,0.00422043,-8.246700661,2.22E-16
(Intercept),2020,0.75,1,0.436792022,0.150873271,2.895092136,0.003793714
mean_high_c,2020,0.75,Majority minority,0.013667878,0.004131591,3.308139013,0.000940492
(Intercept),2021,0.75,1,2.528510916,0.443499416,5.701272261,1.22E-08
mean_high_c,2021,0.75,Majority minority,-0.026338655,0.012398021,-2.124424168,0.033653585
(Intercept),2020,0.95,1,2.051095438,0.8678707,2.363365233,0.018117329
mean_high_c,2020,0.95,Majority minority,0.017364088,0.023930096,0.725617169,0.468080204
(Intercept),2021,0.95,1,4.279124237,2.611011217,1.638876236,0.101263333
mean_high_c,2021,0.95,Majority minority,-0.000581698,0.073217968,-0.00794474,0.993661203
