"","year","quant","demo","Value","Std. Error","t value","Pr(>|t|)"
"(Intercept)","2020","0.01","p_white","-0.956964491086828","0.0821848662855128","-11.6440475520433","0"
"mean_high_c","2020","0.01","p_white","0.0109746981023576","0.0022406685233841","4.89795701051862","9.70882980677601e-07"
"(Intercept)","2021","0.01","p_white","-0.392582192582193","0.125864732814366","-3.11908017284872","0.00181531626890363"
"mean_high_c","2021","0.01","p_white","-0.00374400374400374","0.00352115253046741","-1.06328928145204","0.287656517450522"
"(Intercept)","2020","0.05","p_white","-1.14277619304603","0.116284950476853","-9.82737824937632","0"
"mean_high_c","2020","0.05","p_white","0.0282938863618842","0.0031535747364468","8.97200438438429","0"
"(Intercept)","2021","0.05","p_white","-0.179762445641592","0.125525126575878","-1.43208336486264","0.152126943552648"
"mean_high_c","2021","0.05","p_white","-0.000713961186473677","0.0034519547677297","-0.206828082786044","0.836145063696531"
"(Intercept)","2020","0.25","p_white","-0.369167658504618","0.0373836571192468","-9.87510818770467","0"
"mean_high_c","2020","0.25","p_white","0.019992778528157","0.00101627454537186","19.672615652143","0"
"(Intercept)","2021","0.25","p_white","0.816386470956367","0.0858453096852494","9.50997176141174","0"
"mean_high_c","2021","0.25","p_white","-0.00858128994329722","0.00236917879790623","-3.62205248117236","0.000292597543272599"
"(Intercept)","2020","0.5","p_white","0.156840513983371","0.0468075987587956","3.35074898397558","0.000806427241461627"
"mean_high_c","2020","0.5","p_white","0.0151171579743008","0.00126797668392494","11.9222681031536","0"
"(Intercept)","2021","0.5","p_white","1.68309892196995","0.093813662090787","17.9408721977099","0"
"mean_high_c","2021","0.5","p_white","-0.018180694355865","0.00257935103393166","-7.04855373180924","1.83408843668076e-12"
"(Intercept)","2020","0.75","p_white","0.860944551695924","0.134330529607022","6.40915028187992","1.47408529826976e-10"
"mean_high_c","2020","0.75","p_white","0.0127423279679183","0.00362632946316914","3.51383626262751","0.000442008096270818"
"(Intercept)","2021","0.75","p_white","3.02976190476189","0.312517371366778","9.69469918267708","0"
"mean_high_c","2021","0.75","p_white","-0.0293753865182432","0.00868667359217727","-3.3816611395065","0.000721105408195477"
"(Intercept)","2020","0.95","p_white","2.77574171029667","0.748810188904916","3.706869579801","0.000210024468730863"
"mean_high_c","2020","0.95","p_white","0.0349040139616058","0.0204486983110246","1.70690639720514","0.0878445959452041"
"(Intercept)","2021","0.95","p_white","8.2400612360003","1.68075697593062","4.90258934158989","9.49120250393065e-07"
"mean_high_c","2021","0.95","p_white","-0.0526951897510267","0.0454280143690959","-1.15997123103128","0.246066703029828"
"(Intercept)","2020","0.99","p_white","7.60871310537529","2.40012689744079","3.17012951002229","0.00152447116736409"
"mean_high_c","2020","0.99","p_white","0.0335046495603303","0.0650234452047504","0.5152702914284","0.606366043373637"
"(Intercept)","2021","0.99","p_white","6.62746566791513","4.63716815331032","1.42920537897337","0.152952186880242"
"mean_high_c","2021","0.99","p_white","0.189762796504369","0.128352838356057","1.47844643667293","0.139295356546243"
"(Intercept)","2020","0.01","p_latinx","-0.70594801268293","0.32817302100576","-2.15114579047172","0.0314855313621871"
"mean_high_c","2020","0.01","p_latinx","0.00414756257040093","0.00918363867238311","0.45162519109919","0.651547564890888"
"(Intercept)","2021","0.01","p_latinx","-0.217100437297221","0.31595513894006","-0.687124248162355","0.492029192891528"
"mean_high_c","2021","0.01","p_latinx","-0.00966285794893495","0.00860217548423459","-1.12330397893467","0.261350313251894"
"(Intercept)","2020","0.05","p_latinx","-1.34859584859584","0.15885972303854","-8.48922447301927","0"
"mean_high_c","2020","0.05","p_latinx","0.033916700583367","0.00434889902104798","7.79891655778061","6.66133814775094e-15"
"(Intercept)","2021","0.05","p_latinx","0.330397441518565","0.309836577129465","1.06636035222048","0.286300776802714"
"mean_high_c","2021","0.05","p_latinx","-0.0158357619993289","0.00862408794941644","-1.83622454828983","0.0663705525786666"
"(Intercept)","2020","0.25","p_latinx","-0.624046920821114","0.0677813259631003","-9.20676767463713","0"
"mean_high_c","2020","0.25","p_latinx","0.0234604105571847","0.00185694038872334","12.6339061284105","0"
"(Intercept)","2021","0.25","p_latinx","1.51875328048027","0.24543245121855","6.18807037512683","6.46496856049339e-10"
"mean_high_c","2021","0.25","p_latinx","-0.029468989053472","0.00678441863710405","-4.34362774907577","1.42300687488994e-05"
"(Intercept)","2020","0.5","p_latinx","-0.193925702811239","0.0856745826176224","-2.26351499927062","0.0236225791816722"
"mean_high_c","2020","0.5","p_latinx","0.0190763052208834","0.0023751328342699","8.0316793004747","1.11022302462516e-15"
"(Intercept)","2021","0.5","p_latinx","1.79370762216507","0.248886220754458","7.20693824160992","6.3771210534469e-13"
"mean_high_c","2021","0.5","p_latinx","-0.0244524978567533","0.00691036550999756","-3.53852452831572","0.000405208781878663"
"(Intercept)","2020","0.75","p_latinx","0.345307095692276","0.160490175188834","2.15157778528178","0.0314514521720997"
"mean_high_c","2020","0.75","p_latinx","0.0166125144114873","0.0044485749497195","3.7343451777821","0.000189116013886714"
"(Intercept)","2021","0.75","p_latinx","1.48763731952291","0.487589108049472","3.05100605194809","0.00229005038244767"
"mean_high_c","2021","0.75","p_latinx","0.00227558066541119","0.0136721132488494","0.166439571117706","0.867816263315258"
"(Intercept)","2020","0.95","p_latinx","-0.241135108322604","1.00409377762811","-0.240151979521493","0.81021673421278"
"mean_high_c","2020","0.95","p_latinx","0.0823814886314885","0.027279796457509","3.01987182198393","0.00253438566547204"
"(Intercept)","2021","0.95","p_latinx","5.2144700148557","2.87582146598734","1.81321061704554","0.0698459042731869"
"mean_high_c","2021","0.95","p_latinx","-0.0396153144465572","0.0809497515346894","-0.489381544668248","0.624588277277213"
"(Intercept)","2020","0.99","p_latinx","6.76546875","2.47231952929326","2.73648639257159","0.0062194827953097"
"mean_high_c","2020","0.99","p_latinx","-0.016875","0.0677854317789744","-0.248947296743992","0.803406010028229"
"(Intercept)","2021","0.99","p_latinx","1.65823810335999","4.14465961191222","0.400090298994404","0.689103287304021"
"mean_high_c","2021","0.99","p_latinx","0.202114958212521","0.112213754046661","1.80116029384844","0.0717244085703224"
"(Intercept)","2020","0.01","p_black","-1.40928882438317","1.58577639653777","-0.888705890351295","0.374303748887084"
"mean_high_c","2020","0.01","p_black","0.0232220609579101","0.0432283545255305","0.53719511678834","0.591212572006831"
"(Intercept)","2021","0.01","p_black","-0.885975874809824","0.328711415427339","-2.69529999029092","0.00715915755473984"
"mean_high_c","2021","0.01","p_black","0.00380352097370136","0.00900357618342696","0.422445581201674","0.672797252033172"
