cbg,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,year,fips,county,yvar,yvar_cut,city,population,geometry,pop_density,dense,sparse
060014002001,06,001,400200,1,1500000US060014002001,060014002001,1,BG,288069,0,2019,06001,Alameda,3.6653872066320767,"(3,4]",TRUE,184,"list(list(c(-122.25235, -122.252503, -122.25096, -122.250472, -122.250328, -122.250037, -122.249981, -122.249155, -122.248984, -122.241914, -122.242427, -122.244044, -122.255084, -122.25235, 37.849428, 37.850826, 37.851159, 37.851387, 37.851393, 37.851416, 37.851294, 37.851466, 37.851475, 37.851909, 37.850833, 37.850257, 37.846069, 37.849428)))",0.6387358584228083,TRUE,FALSE
060014002002,06,001,400200,2,1500000US060014002002,060014002002,2,BG,298490,0,2019,06001,Alameda,3.119680298306742,"(3,4]",TRUE,138,"list(list(c(-122.257418, -122.256205, -122.255084, -122.244044, -122.243323, -122.243716, -122.247313, -122.251857, -122.254366, -122.257923, -122.257418, 37.843096, 37.844686, 37.846069, 37.850257, 37.849072, 37.848513, 37.846563, 37.844746, 37.843773, 37.842606, 37.843096)))",0.4623270461321987,TRUE,FALSE
060014012001,06,001,401200,1,1500000US060014012001,060014012001,1,BG,329348,0,2019,06001,Alameda,3.097878200880014,"(3,4]",TRUE,115,"list(list(c(-122.259988, -122.260193, -122.259516, -122.256971, -122.25241, -122.254455, -122.260204, -122.259988, 37.831871, 37.834265, 37.836935, 37.836493, 37.834543, 37.831252, 37.831016, 37.831871)))",0.3491747331090518,FALSE,FALSE
060014012003,06,001,401200,3,1500000US060014012003,060014012003,3,BG,189381,0,2020,06001,Alameda,3.2943021616541355,"(3,4]",TRUE,59,"list(list(c(-122.2621, -122.261375, -122.260841, -122.257998, -122.256742, -122.25868, -122.260006, -122.261996, -122.2621, 37.823536, 37.826659, 37.828634, 37.828161, 37.827628, 37.824515, 37.822421, 37.823012, 37.823536)))",0.31154128450055707,FALSE,FALSE
060014012003,06,001,401200,3,1500000US060014012003,060014012003,3,BG,189381,0,2019,06001,Alameda,3.110384379651519,"(3,4]",TRUE,59,"list(list(c(-122.2621, -122.261375, -122.260841, -122.257998, -122.256742, -122.25868, -122.260006, -122.261996, -122.2621, 37.823536, 37.826659, 37.828634, 37.828161, 37.827628, 37.824515, 37.822421, 37.823012, 37.823536)))",0.31154128450055707,FALSE,FALSE
060014013001,06,001,401300,1,1500000US060014013001,060014013001,1,BG,445067,0,2019,06001,Alameda,4.154052901061014,"(4,5]",TRUE,118,"list(list(c(-122.269891, -122.268876, -122.268811, -122.268272, -122.261996, -122.260006, -122.263084, -122.267493, -122.270041, -122.269891, 37.819488, 37.82312, 37.823103, 37.824385, 37.823012, 37.822421, 37.817449, 37.81824, 37.818894, 37.819488)))",0.2651286210840166,FALSE,FALSE
060014017003,06,001,401700,3,1500000US060014017003,060014017003,3,BG,4181167,5813128,2019,06001,Alameda,24.371583723412993,"(5,Inf]",TRUE,5,"list(list(c(-122.330369, -122.316108, -122.306125, -122.296618, -122.297181994176, -122.295994, -122.293507, -122.293391, -122.293797, -122.290529, -122.291269, -122.294379, -122.295695, -122.299613, -122.303977, -122.304871, -122.304866, -122.310768, -122.312214, -122.320197, -122.323932, -122.327803, -122.3286071261, -122.323238, -122.317296, -122.319198, -122.330369, 37.82058, 37.827338, 37.826024, 37.828465, 37.831583183787, 37.831298, 37.830702, 37.830674, 37.829007, 37.825842, 37.823168, 37.819486, 
37.81789, 37.815796, 37.811781, 37.809334, 37.807896, 37.808798, 37.808657, 37.809318, 37.807979, 37.807658, 37.8108026210171, 37.810252, 37.816261, 37.819078, 37.82058)))",5.002854128280184e-4,FALSE,TRUE
060014017003,06,001,401700,3,1500000US060014017003,060014017003,3,BG,4181167,5813128,2020,06001,Alameda,13.784387201751423,"(5,Inf]",TRUE,5,"list(list(c(-122.330369, -122.316108, -122.306125, -122.296618, -122.297181994176, -122.295994, -122.293507, -122.293391, -122.293797, -122.290529, -122.291269, -122.294379, -122.295695, -122.299613, -122.303977, -122.304871, -122.304866, -122.310768, -122.312214, -122.320197, -122.323932, -122.327803, -122.3286071261, -122.323238, -122.317296, -122.319198, -122.330369, 37.82058, 37.827338, 37.826024, 37.828465, 37.831583183787, 37.831298, 37.830702, 37.830674, 37.829007, 37.825842, 37.823168, 37.819486, 
37.81789, 37.815796, 37.811781, 37.809334, 37.807896, 37.808798, 37.808657, 37.809318, 37.807979, 37.807658, 37.8108026210171, 37.810252, 37.816261, 37.819078, 37.82058)))",5.002854128280184e-4,FALSE,TRUE
060014022003,06,001,402200,3,1500000US060014022003,060014022003,3,BG,427711,0,2019,06001,Alameda,3.0086394326590407,"(3,4]",TRUE,76,"list(list(c(-122.304026, -122.302386, -122.301847, -122.298257, -122.293873, -122.29369, -122.290608, -122.291101, -122.296858, -122.300389, -122.303339, -122.304866, -122.304026, 37.807388, 37.807123, 37.806939, 37.806089, 37.805318, 37.805079, 37.803784, 37.802526, 37.801922, 37.802657, 37.804684, 37.807896, 37.807388)))",0.1776900757754652,FALSE,FALSE
060014029001,06,001,402900,1,1500000US060014029001,060014029001,1,BG,391800,0,2019,06001,Alameda,4.005306116113388,"(4,5]",TRUE,207,"list(list(c(-122.271274, -122.266771, -122.265421, -122.262463, -122.263163, -122.266018, -122.264778, -122.266458, -122.268798, -122.271274, 37.804361, 37.811553, 37.811468, 37.810945, 37.808899, 37.806958, 37.805119, 37.802497, 37.803427, 37.804361)))",0.5283307810107197,TRUE,FALSE
