state_fips,county_fips,postal_code,name,fips ,poverty_estimate,pe_ci_lower,pe_ci_upper,poverty_percent,median_income
00,000,US,United States,00000,"41,852,315","41,619,366","42,085,264",13.1,"61,937"
01,000,AL,Alabama,01000,"801,758","785,668","817,848",16.8,"49,881"
01,001,AL,Autauga County,01001,"7,587","6,334","8,840",13.8,"59,338"
01,003,AL,Baldwin County,01003,"21,069","17,390","24,748",9.8,"57,588"
01,005,AL,Barbour County,01005,"6,788","5,662","7,914",30.9,"34,382"
01,007,AL,Bibb County,01007,"4,400","3,445","5,355",21.8,"46,064"
01,009,AL,Blount County,01009,"7,527","6,045","9,009",13.2,"50,412"
01,011,AL,Bullock County,01011,"3,610","2,966","4,254",42.5,"29,267"
01,013,AL,Butler County,01013,"4,731","3,804","5,658",24.5,"37,365"
01,015,AL,Calhoun County,01015,"21,719","18,807","24,631",19.5,"45,400"
01,017,AL,Chambers County,01017,"6,181","4,799","7,563",18.7,"39,917"
01,019,AL,Cherokee County,01019,"4,180","3,215","5,145",16.3,"42,132"
01,021,AL,Chilton County,01021,"7,542","6,164","8,920",17.3,"47,547"
01,023,AL,Choctaw County,01023,"2,806","2,161","3,451",22.1,"39,907"
01,025,AL,Clarke County,01025,"5,381","4,430","6,332",22.8,"40,741"
01,027,AL,Clay County,01027,"2,285","1,811","2,759",17.6,"39,201"
01,029,AL,Cleburne County,01029,"2,356","1,859","2,853",16.0,"46,495"
01,031,AL,Coffee County,01031,"7,053","5,821","8,285",13.8,"55,122"
01,033,AL,Colbert County,01033,"7,459","6,059","8,859",13.8,"49,055"
01,035,AL,Conecuh County,01035,"2,979","2,247","3,711",24.4,"32,613"
01,037,AL,Coosa County,01037,"1,973","1,505","2,441",18.9,"42,423"
01,039,AL,Covington County,01039,"7,239","6,065","8,413",19.9,"40,203"
01,041,AL,Crenshaw County,01041,"2,661","2,057","3,265",19.5,"39,057"
01,043,AL,Cullman County,01043,"11,925","9,926","13,924",14.5,"45,796"
01,045,AL,Dale County,01045,"7,743","6,338","9,148",16.2,"45,309"
01,047,AL,Dallas County,01047,"11,841","9,598","14,084",31.4,"34,035"
01,049,AL,DeKalb County,01049,"14,975","13,282","16,668",21.3,"39,491"
01,051,AL,Elmore County,01051,"8,559","6,765","10,353",11.2,"60,367"
01,053,AL,Escambia County,01053,"8,022","6,521","9,523",23.6,"38,418"
01,055,AL,Etowah County,01055,"17,509","15,140","19,878",17.5,"44,903"
01,057,AL,Fayette County,01057,"3,801","3,185","4,417",23.5,"39,254"
01,059,AL,Franklin County,01059,"5,939","4,833","7,045",19.2,"39,388"
01,061,AL,Geneva County,01061,"5,537","4,537","6,537",21.3,"37,823"
01,063,AL,Greene County,01063,"2,459","1,877","3,041",30.1,"28,524"
01,065,AL,Hale County,01065,"3,705","2,931","4,479",25.6,"34,724"
01,067,AL,Henry County,01067,"3,037","2,388","3,686",17.9,"46,027"
01,069,AL,Houston County,01069,"17,032","14,978","19,086",16.5,"47,993"
01,071,AL,Jackson County,01071,"10,046","8,671","11,421",19.7,"41,929"
01,073,AL,Jefferson County,01073,"103,604","95,029","112,179",16.1,"55,013"
01,075,AL,Lamar County,01075,"2,374","1,826","2,922",17.4,"40,936"
01,077,AL,Lauderdale County,01077,"12,645","10,581","14,709",14.0,"48,707"
01,079,AL,Lawrence County,01079,"6,297","5,272","7,322",19.3,"43,909"
01,081,AL,Lee County,01081,"30,075","26,732","33,418",19.0,"48,937"
01,083,AL,Limestone County,01083,"10,633","8,515","12,751",11.4,"64,863"
01,085,AL,Lowndes County,01085,"2,474","1,900","3,048",25.1,"33,973"
01,087,AL,Macon County,01087,"5,031","3,952","6,110",30.2,"32,495"
01,089,AL,Madison County,01089,"42,667","37,832","47,502",11.9,"63,755"
01,091,AL,Marengo County,01091,"4,499","3,580","5,418",24.0,"37,733"
01,093,AL,Marion County,01093,"5,844","4,818","6,870",20.2,"37,887"
01,095,AL,Marshall County,01095,"17,341","14,934","19,748",18.3,"46,233"
01,097,AL,Mobile County,01097,"84,539","76,590","92,488",20.8,"43,598"
01,099,AL,Monroe County,01099,"4,560","3,497","5,623",21.9,"39,556"
01,101,AL,Montgomery County,01101,"43,567","38,512","48,622",20.1,"49,640"
01,103,AL,Morgan County,01103,"15,419","12,500","18,338",13.2,"52,797"
01,105,AL,Perry County,01105,"2,943","2,239","3,647",35.3,"26,814"
01,107,AL,Pickens County,01107,"4,177","3,204","5,150",23.1,"37,586"
01,109,AL,Pike County,01109,"7,315","5,934","8,696",23.6,"37,259"
01,111,AL,Randolph County,01111,"4,375","3,509","5,241",19.7,"40,546"
01,113,AL,Russell County,01113,"12,384","10,327","14,441",21.7,"39,104"
01,115,AL,St. Clair County,01115,"10,432","8,540","12,324",12.0,"57,284"
01,117,AL,Shelby County,01117,"16,916","14,506","19,326",8.0,"75,663"
01,119,AL,Sumter County,01119,"4,076","3,223","4,929",34.7,"27,859"
01,121,AL,Talladega County,01121,"14,825","12,502","17,148",19.3,"41,630"
01,123,AL,Tallapoosa County,01123,"7,839","6,675","9,003",19.7,"42,205"
01,125,AL,Tuscaloosa County,01125,"33,330","28,795","37,865",16.8,"52,557"
01,127,AL,Walker County,01127,"11,231","9,229","13,233",17.9,"45,434"
01,129,AL,Washington County,01129,"2,846","2,191","3,501",17.6,"44,424"
01,131,AL,Wilcox County,01131,"3,504","2,719","4,289",33.4,"25,385"
01,133,AL,Winston County,01133,"4,338","3,399","5,277",18.6,"41,156"
02,000,AK,Alaska,02000,"80,224","76,253","84,195",11.1,"74,912"
02,013,AK,Aleutians East Borough,02013,544,389,699,15.5,"70,081"
02,016,AK,Aleutians West Census Area,02016,550,422,678,10.0,"82,633"
02,020,AK,Anchorage Borough,02020,"27,075","23,826","30,324",9.5,"82,113"
02,050,AK,Bethel Census Area,02050,"5,869","5,189","6,549",32.7,"44,304"
02,060,AK,Bristol Bay Borough,02060,96,72,120,11.2,"77,257"
02,068,AK,Denali Borough,02068,135,102,168,6.9,"75,477"
02,070,AK,Dillingham Census Area,02070,"1,091",875,"1,307",22.0,"54,524"
02,090,AK,Fairbanks North Star Borough,02090,"8,104","6,512","9,696",8.6,"74,268"
02,100,AK,Haines Borough,02100,259,195,323,10.5,"58,943"
02,105,AK,Hoonah-Angoon Census Area,02105,370,281,459,17.2,"51,188"
02,110,AK,Juneau Borough,02110,"2,299","1,774","2,824",7.3,"79,173"
02,122,AK,Kenai Peninsula Borough,02122,"7,103","6,050","8,156",12.4,"65,439"
02,130,AK,Ketchikan Gateway Borough,02130,"1,244",963,"1,525",9.1,"68,309"
02,150,AK,Kodiak Island Borough,02150,"1,073",851,"1,295",8.2,"74,109"
02,158,AK,Kusilvak Census Area,02158,"2,905","2,444","3,366",35.1,"32,728"
02,164,AK,Lake and Peninsula Borough,02164,288,218,358,18.2,"49,403"
02,170,AK,Matanuska-Susitna Borough,02170,"10,937","9,389","12,485",10.4,"74,649"
02,180,AK,Nome Census Area,02180,"2,168","1,803","2,533",22.0,"55,318"
02,185,AK,North Slope Borough,02185,"1,094",811,"1,377",11.1,"89,276"
02,188,AK,Northwest Arctic Borough,02188,"1,604","1,230","1,978",21.1,"59,337"
02,195,AK,Petersburg Borough,02195,232,174,290,7.2,"66,075"
02,198,AK,Prince of Wales-Hyder Census Area,02198,"1,057",836,"1,278",16.5,"49,356"
02,220,AK,Sitka Borough,02220,656,494,818,7.7,"71,825"
02,230,AK,Skagway Municipality,02230,49,37,61,4.3,"74,635"
02,240,AK,Southeast Fairbanks Census Area,02240,918,713,"1,123",13.4,"63,527"
02,261,AK,Valdez-Cordova Census Area,02261,880,670,"1,090",9.7,"68,528"
02,275,AK,Wrangell City and Borough,02275,287,215,359,11.6,"57,832"
02,282,AK,Yakutat Borough,02282,79,60,98,13.1,"59,523"
02,290,AK,Yukon-Koyukuk Census Area,02290,"1,259","1,033","1,485",23.7,"38,912"
04,000,AZ,Arizona,04000,"990,291","970,614","1,009,968",14.1,"59,079"
04,001,AZ,Apache County,04001,"26,435","24,497","28,373",37.3,"33,652"
04,003,AZ,Cochise County,04003,"18,273","14,986","21,560",15.1,"49,164"
04,005,AZ,Coconino County,04005,"20,964","18,175","23,753",15.9,"60,187"
04,007,AZ,Gila County,04007,"10,804","9,102","12,506",20.4,"43,585"
04,009,AZ,Graham County,04009,"7,118","5,618","8,618",20.2,"50,157"
04,011,AZ,Greenlee County,04011,985,774,"1,196",10.5,"65,818"
04,012,AZ,La Paz County,04012,"4,921","3,967","5,875",23.7,"37,350"
04,013,AZ,Maricopa County,04013,"535,183","516,969","553,397",12.3,"65,234"
04,015,AZ,Mohave County,04015,"34,411","29,470","39,352",16.8,"45,129"
04,017,AZ,Navajo County,04017,"30,876","27,949","33,803",28.5,"40,650"
04,019,AZ,Pima County,04019,"164,927","155,454","174,400",16.2,"53,395"
04,021,AZ,Pinal County,04021,"54,399","46,963","61,835",12.9,"58,848"
04,023,AZ,Santa Cruz County,04023,"11,287","9,715","12,859",24.4,"40,545"
04,025,AZ,Yavapai County,04025,"30,060","25,935","34,185",13.2,"48,758"
04,027,AZ,Yuma County,04027,"39,648","34,437","44,859",19.5,"44,116"
05,000,AR,Arkansas,05000,"492,306","478,253","506,359",16.8,"47,094"
05,001,AR,Arkansas County,05001,"3,120","2,459","3,781",17.9,"43,887"
05,003,AR,Ashley County,05003,"3,876","3,091","4,661",19.6,"41,127"
05,005,AR,Baxter County,05005,"6,216","5,162","7,270",15.1,"39,686"
05,007,AR,Benton County,05007,"23,290","19,726","26,854",8.6,"68,978"
05,009,AR,Boone County,05009,"5,472","4,380","6,564",14.8,"44,482"
05,011,AR,Bradley County,05011,"2,329","1,776","2,882",21.7,"37,729"
05,013,AR,Calhoun County,05013,800,603,997,15.7,"44,969"
05,015,AR,Carroll County,05015,"4,499","3,586","5,412",16.1,"45,023"
05,017,AR,Chicot County,05017,"3,039","2,406","3,672",31.4,"31,787"
05,019,AR,Clark County,05019,"3,838","2,968","4,708",19.9,"45,408"
05,021,AR,Clay County,05021,"3,035","2,481","3,589",20.7,"37,687"
05,023,AR,Cleburne County,05023,"3,573","2,762","4,384",14.6,"44,902"
05,025,AR,Cleveland County,05025,"1,232",957,"1,507",15.5,"47,600"
05,027,AR,Columbia County,05027,"4,799","3,789","5,809",22.4,"40,909"
05,029,AR,Conway County,05029,"3,693","2,954","4,432",17.9,"44,565"
05,031,AR,Craighead County,05031,"18,768","16,377","21,159",17.9,"45,615"
05,033,AR,Crawford County,05033,"10,027","8,321","11,733",16.0,"47,363"
05,035,AR,Crittenden County,05035,"9,056","7,015","11,097",19.2,"42,606"
05,037,AR,Cross County,05037,"2,940","2,248","3,632",18.0,"41,214"
05,039,AR,Dallas County,05039,"1,442","1,101","1,783",21.3,"37,259"
05,041,AR,Desha County,05041,"2,780","2,138","3,422",24.3,"36,132"
05,043,AR,Drew County,05043,"3,391","2,670","4,112",19.5,"42,494"
05,045,AR,Faulkner County,05045,"18,571","16,158","20,984",15.4,"53,882"
05,047,AR,Franklin County,05047,"3,202","2,590","3,814",18.3,"43,696"
05,049,AR,Fulton County,05049,"2,481","1,951","3,011",20.6,"35,630"
05,051,AR,Garland County,05051,"19,844","17,419","22,269",20.4,"43,610"
05,053,AR,Grant County,05053,"2,353","1,906","2,800",13.1,"52,050"
05,055,AR,Greene County,05055,"7,361","6,152","8,570",16.5,"46,512"
05,057,AR,Hempstead County,05057,"4,424","3,466","5,382",20.6,"38,682"
05,059,AR,Hot Spring County,05059,"5,844","4,762","6,926",18.7,"47,205"
05,061,AR,Howard County,05061,"2,271","1,777","2,765",17.3,"40,199"
05,063,AR,Independence County,05063,"5,302","4,263","6,341",14.5,"45,596"
05,065,AR,Izard County,05065,"2,358","1,782","2,934",18.7,"37,828"
05,067,AR,Jackson County,05067,"3,732","3,053","4,411",25.6,"36,573"
05,069,AR,Jefferson County,05069,"13,900","11,395","16,405",22.2,"38,596"
05,071,AR,Johnson County,05071,"5,761","4,930","6,592",22.2,"39,381"
05,073,AR,Lafayette County,05073,"1,498","1,145","1,851",22.8,"35,527"
05,075,AR,Lawrence County,05075,"2,776","2,093","3,459",17.7,"40,308"
05,077,AR,Lee County,05077,"3,098","2,433","3,763",43.0,"28,080"
05,079,AR,Lincoln County,05079,"2,647","2,031","3,263",27.5,"44,951"
05,081,AR,Little River County,05081,"1,942","1,473","2,411",16.0,"43,559"
05,083,AR,Logan County,05083,"3,950","3,210","4,690",18.6,"41,471"
05,085,AR,Lonoke County,05085,"8,651","7,133","10,169",11.9,"56,651"
05,087,AR,Madison County,05087,"3,002","2,417","3,587",18.4,"42,674"
05,089,AR,Marion County,05089,"3,082","2,493","3,671",18.7,"36,581"
05,091,AR,Miller County,05091,"9,228","7,682","10,774",21.9,"42,162"
05,093,AR,Mississippi County,05093,"10,325","8,705","11,945",25.7,"36,718"
05,095,AR,Monroe County,05095,"1,769","1,386","2,152",26.0,"32,922"
05,097,AR,Montgomery County,05097,"1,649","1,269","2,029",18.8,"38,318"
05,099,AR,Nevada County,05099,"1,738","1,336","2,140",21.3,"37,626"
05,101,AR,Newton County,05101,"1,340",967,"1,713",17.4,"36,078"
05,103,AR,Ouachita County,05103,"5,410","4,491","6,329",23.3,"37,624"
05,105,AR,Perry County,05105,"1,502","1,153","1,851",14.7,"45,342"
05,107,AR,Phillips County,05107,"6,301","5,066","7,536",35.4,"29,945"
05,109,AR,Pike County,05109,"1,856","1,440","2,272",17.8,"41,534"
05,111,AR,Poinsett County,05111,"5,592","4,676","6,508",23.7,"37,370"
05,113,AR,Polk County,05113,"3,962","3,142","4,782",20.0,"39,048"
05,115,AR,Pope County,05115,"9,647","7,890","11,404",16.0,"45,788"
05,117,AR,Prairie County,05117,"1,254",955,"1,553",15.8,"43,245"
05,119,AR,Pulaski County,05119,"64,312","58,564","70,060",16.7,"49,957"
05,121,AR,Randolph County,05121,"3,050","2,370","3,730",17.4,"37,799"
05,123,AR,St. Francis County,05123,"7,586","6,246","8,926",35.6,"33,257"
05,125,AR,Saline County,05125,"11,695","9,948","13,442",9.7,"63,677"
05,127,AR,Scott County,05127,"2,054","1,617","2,491",20.2,"35,826"
05,129,AR,Searcy County,05129,"1,912","1,496","2,328",24.3,"31,659"
05,131,AR,Sebastian County,05131,"19,527","16,853","22,201",15.6,"46,843"
05,133,AR,Sevier County,05133,"3,402","2,691","4,113",20.1,"44,100"
05,135,AR,Sharp County,05135,"3,541","2,714","4,368",20.7,"36,032"
05,137,AR,Stone County,05137,"2,497","1,942","3,052",20.3,"34,009"
05,139,AR,Union County,05139,"7,000","5,571","8,429",18.2,"45,335"
05,141,AR,Van Buren County,05141,"2,685","2,045","3,325",16.4,"40,486"
05,143,AR,Washington County,05143,"34,741","30,948","38,534",15.2,"50,893"
05,145,AR,White County,05145,"12,505","10,429","14,581",16.6,"44,811"
05,147,AR,Woodruff County,05147,"1,509","1,140","1,878",23.7,"34,306"
05,149,AR,Yell County,05149,"3,453","2,693","4,213",16.3,"41,729"
06,000,CA,California,06000,"4,972,955","4,927,111","5,018,799",12.8,"75,250"
06,001,CA,Alameda County,06001,"147,394","137,363","157,425",9.0,"101,744"
06,003,CA,Alpine County,06003,190,143,237,17.3,"55,384"
06,005,CA,Amador County,06005,"4,130","3,311","4,949",11.8,"58,515"
06,007,CA,Butte County,06007,"42,016","37,941","46,091",18.5,"50,945"
06,009,CA,Calaveras County,06009,"5,454","4,231","6,677",12.1,"62,984"
06,011,CA,Colusa County,06011,"2,350","1,844","2,856",11.0,"57,249"
06,013,CA,Contra Costa County,06013,"88,980","81,189","96,771",7.8,"101,463"
06,015,CA,Del Norte County,06015,"5,065","3,937","6,193",20.4,"48,518"
06,017,CA,El Dorado County,06017,"15,401","12,828","17,974",8.1,"81,869"
06,019,CA,Fresno County,06019,"208,627","196,204","221,050",21.3,"52,318"
06,021,CA,Glenn County,06021,"4,271","3,543","4,999",15.4,"47,365"
06,023,CA,Humboldt County,06023,"27,002","23,919","30,085",20.3,"49,471"
06,025,CA,Imperial County,06025,"37,014","31,562","42,466",21.4,"46,633"
06,027,CA,Inyo County,06027,"2,172","1,701","2,643",12.3,"53,793"
06,029,CA,Kern County,06029,"177,021","166,198","187,844",20.5,"51,586"
06,031,CA,Kings County,06031,"25,481","21,602","29,360",18.8,"58,255"
06,033,CA,Lake County,06033,"11,689","9,508","13,870",18.4,"45,086"
06,035,CA,Lassen County,06035,"3,653","2,729","4,577",15.8,"57,705"
06,037,CA,Los Angeles County,06037,"1,409,155","1,369,373","1,448,937",14.2,"67,986"
06,039,CA,Madera County,06039,"30,201","26,194","34,208",20.2,"53,632"
06,041,CA,Marin County,06041,"16,742","13,811","19,673",6.6,"122,933"
06,043,CA,Mariposa County,06043,"2,569","2,000","3,138",14.9,"51,402"
06,045,CA,Mendocino County,06045,"15,140","12,647","17,633",17.5,"51,386"
06,047,CA,Merced County,06047,"56,863","50,845","62,881",21.2,"56,169"
06,049,CA,Modoc County,06049,"1,631","1,263","1,999",19.1,"45,227"
06,051,CA,Mono County,06051,"1,312",991,"1,633",9.3,"66,499"
06,053,CA,Monterey County,06053,"55,614","49,294","61,934",13.3,"69,665"
06,055,CA,Napa County,06055,"11,829","10,092","13,566",8.8,"85,624"
06,057,CA,Nevada County,06057,"10,171","8,319","12,023",10.3,"66,681"
06,059,CA,Orange County,06059,"330,559","311,256","349,862",10.5,"89,373"
06,061,CA,Placer County,06061,"27,596","24,027","31,165",7.1,"89,175"
06,063,CA,Plumas County,06063,"2,317","1,782","2,852",12.5,"55,079"
06,065,CA,Riverside County,06065,"307,511","290,062","324,960",12.7,"66,793"
06,067,CA,Sacramento County,06067,"217,138","203,030","231,246",14.3,"69,475"
06,069,CA,San Benito County,06069,"5,294","4,068","6,520",8.6,"80,063"
06,071,CA,San Bernardino County,06071,"317,514","296,813","338,215",14.9,"63,310"
06,073,CA,San Diego County,06073,"372,148","352,204","392,092",11.5,"78,777"
06,075,CA,San Francisco County,06075,"87,596","80,029","95,163",10.1,"110,601"
06,077,CA,San Joaquin County,06077,"105,351","95,678","115,024",14.3,"63,567"
06,079,CA,San Luis Obispo County,06079,"34,200","30,624","37,776",12.7,"70,626"
06,081,CA,San Mateo County,06081,"51,830","46,093","57,567",6.8,"122,930"
